inclination_deg,theta_deg,upper_reach_deg,feasible_by_upper_bound,N_min,spacing_deg_at_N_min,mean_overlap_at_N_min,normalized_overlap_at_N_min,max_gap_time_min_at_N_min
40.0,4.550567325948776,44.550567325948776,False,,,,,
40.25,4.550567325948776,44.800567325948776,False,,,,,
40.5,4.550567325948776,45.050567325948776,False,,,,,
40.75,4.550567325948776,45.300567325948776,False,,,,,
41.0,4.550567325948776,45.550567325948776,False,,,,,
41.25,4.550567325948776,45.800567325948776,False,,,,,
41.5,4.550567325948776,46.050567325948776,False,,,,,
41.75,4.550567325948776,46.300567325948776,False,,,,,
42.0,4.550567325948776,46.550567325948776,False,,,,,
42.25,4.550567325948776,46.800567325948776,False,,,,,
42.5,4.550567325948776,47.050567325948776,False,,,,,
42.75,4.550567325948776,47.300567325948776,False,,,,,
43.0,4.550567325948776,47.550567325948776,False,,,,,
43.25,4.550567325948776,47.800567325948776,False,,,,,
43.5,4.550567325948776,48.050567325948776,False,,,,,
43.75,4.550567325948776,48.300567325948776,False,,,,,
44.0,4.550567325948776,48.550567325948776,False,,,,,
44.25,4.550567325948776,48.800567325948776,False,,,,,
44.5,4.550567325948776,49.050567325948776,False,,,,,
44.75,4.550567325948776,49.300567325948776,False,,,,,
45.0,4.550567325948776,49.550567325948776,False,,,,,
45.25,4.550567325948776,49.800567325948776,False,,,,,
45.5,4.550567325948776,50.050567325948776,True,76.0,4.7368421052631575,7.71674400791741,0.8852782539587615,0.0
45.75,4.550567325948776,50.300567325948776,True,32.0,11.25,2.680281627157271,0.728277663975439,0.0
46.0,4.550567325948776,50.550567325948776,True,23.0,15.652173913043478,1.6481903249963197,0.6223812643594996,0.0
46.25,4.550567325948776,50.800567325948776,True,23.0,15.652173913043478,1.6481504558811726,0.6223769067602051,0.0
46.5,4.550567325948776,51.050567325948776,True,23.0,15.652173913043478,1.6456226550263127,0.622016560107161,0.0
46.75,4.550567325948776,51.300567325948776,True,23.0,15.652173913043478,1.6409395087544472,0.6213435738842558,0.0
47.0,4.550567325948776,51.550567325948776,True,24.0,15.0,1.7488683046470845,0.6362021336857011,0.0
47.25,4.550567325948776,51.800567325948776,True,24.0,15.0,1.7401598613980538,0.6350388480321651,0.0
47.5,4.550567325948776,52.050567325948776,True,24.0,15.0,1.729776913848772,0.6336451252263426,0.0
47.75,4.550567325948776,52.300567325948776,True,25.0,14.4,1.831085707928436,0.646774549864583,0.0
48.0,4.550567325948776,52.550567325948776,True,25.0,14.4,1.817145680558484,0.6450284829186728,0.0
48.25,4.550567325948776,52.800567325948776,True,25.0,14.4,1.8017860391197738,0.6430839666630606,0.0
48.5,4.550567325948776,53.050567325948776,True,25.0,14.4,1.7851049574566575,0.6409467506798832,0.0
48.75,4.550567325948776,53.300567325948776,True,25.0,14.4,1.767162662546662,0.638617510438485,0.0
49.0,4.550567325948776,53.550567325948776,True,25.0,14.4,1.74801399274092,0.6360964109110044,0.0
49.25,4.550567325948776,53.800567325948776,True,25.0,14.4,1.7277223618950464,0.6333848920742505,0.0
49.5,4.550567325948776,54.050567325948776,True,25.0,14.4,1.7063600624572837,0.6304858341363805,0.0
49.75,4.550567325948776,54.300567325948776,True,25.0,14.4,1.6839579487502063,0.6273966113023585,0.0
50.0,4.550567325948776,54.550567325948776,True,25.0,14.4,1.6605617541410684,0.6241166577944244,0.0
50.25,4.550567325948776,54.800567325948776,True,27.0,13.333333333333334,1.8471093279777178,0.6487630781815269,0.0
50.5,4.550567325948776,55.050567325948776,True,27.0,13.333333333333334,1.8198365054566856,0.6453677525732754,0.0
50.75,4.550567325948776,55.300567325948776,True,27.0,13.333333333333334,1.7916214009798697,0.6417842400635227,0.0
51.0,4.550567325948776,55.550567325948776,True,27.0,13.333333333333334,1.7625013263146014,0.6380080279573148,0.0
51.25,4.550567325948776,55.800567325948776,True,27.0,13.333333333333334,1.732510998620819,0.6340339719324309,0.0
51.5,4.550567325948776,56.050567325948776,True,27.0,13.333333333333334,1.7016836489249074,0.629856021381868,0.0
51.75,4.550567325948776,56.300567325948776,True,27.0,13.333333333333334,1.6700503083482423,0.6254675311895813,0.0
52.0,4.550567325948776,56.550567325948776,True,27.0,13.333333333333334,1.6376412210977604,0.6208614681597359,0.0
52.25,4.550567325948776,56.800567325948776,True,28.0,12.857142857142858,1.7009463913812408,0.6297245382972912,0.0
52.5,4.550567325948776,57.050567325948776,True,28.0,12.857142857142858,1.665813575781777,0.6248453834296915,0.0
52.75,4.550567325948776,57.300567325948776,True,28.0,12.857142857142858,1.6299596638759066,0.6197338549037684,0.0
53.0,4.550567325948776,57.550567325948776,True,28.0,12.857142857142858,1.593410416798044,0.6143790205910789,0.0
53.25,4.550567325948776,57.800567325948776,True,28.0,12.857142857142858,1.5561900247208844,0.6087690478385644,0.0
53.5,4.550567325948776,58.050567325948776,True,29.0,12.413793103448276,1.6082620768358868,0.6166008628211953,0.0
53.75,4.550567325948776,58.300567325948776,True,29.0,12.413793103448276,1.5683940232346705,0.6106498421145824,0.0
54.0,4.550567325948776,58.550567325948776,True,29.0,12.413793103448276,1.5279008953966113,0.6044120439605102,0.0
54.25,4.550567325948776,58.800567325948776,True,29.0,12.413793103448276,1.4868042463578808,0.59787247019287,0.0
54.5,4.550567325948776,59.050567325948776,True,29.0,12.413793103448276,1.4451249436282472,0.5910149245508521,0.0
54.75,4.550567325948776,59.300567325948776,True,29.0,12.413793103448276,1.4071910783793586,0.5845723190566234,0.0
55.0,4.550567325948776,59.550567325948776,True,30.0,12.0,1.4565086451285478,0.5928861881669204,0.0
55.25,4.550567325948776,59.800567325948776,True,30.0,12.0,1.4257407559492918,0.5877123080105443,0.0
55.5,4.550567325948776,60.050567325948776,True,30.0,12.0,1.3971468468496824,0.5827756021853802,0.0
55.75,4.550567325948776,60.300567325948776,True,30.0,12.0,1.3703226124227295,0.5780348925114918,0.0
56.0,4.550567325948776,60.550567325948776,True,30.0,12.0,1.3449810790774916,0.5734609888558169,0.0
