threshold,mean_annual_conjunctions,expected_annual_maneuver_requests,expected_annual_maneuvers,expected_annual_late_warnings,expected_annual_delta_v_limited,expected_annual_undetected_events,annual_collision_hazard_pre,annual_collision_hazard_post,annual_failure_hazard,annual_collision_probability_pre,annual_collision_probability_post,annual_failure_probability,risk_reduction_ratio,mean_delta_v_mps,p95_delta_v_mps,mean_degraded_duration_hours,p95_degraded_duration_hours,late_warning_ratio_among_requests,delta_v_limited_ratio_among_executed
0.0001,247.68316480901927,0.005696712790607444,0.005696712790607444,0.0,0.0,0.0,4.740780278578951e-05,4.672007701281221e-05,4.672007701281221e-05,4.740667905366498e-05,4.6718985647010464e-05,4.6718985647010464e-05,0.014506255666549395,0.0025951348161599515,0.0029887879744766323,1.0016363766757452,1.0018845968616839,0.0,0.0
1e-05,247.68316480901927,0.8805136508960635,0.8805136508960635,0.0,0.0,0.0,4.740780278578951e-05,3.158999438461216e-05,3.158999438461216e-05,4.740667905366498e-05,3.158949542599359e-05,3.158949542599359e-05,0.333648843230848,0.002348247744272831,0.0032011435068145994,1.001480700660972,1.0020184988223526,0.0,0.0
1e-06,247.68316480901927,8.78383575678706,8.78383575678706,0.0,0.0,0.0,4.740780278578951e-05,4.802473443124916e-06,4.802473443124916e-06,4.740667905366498e-05,4.80246191126779e-06,4.80246191126779e-06,0.8986965126616159,0.002259283451831589,0.00361740414994624,1.001424603732127,1.0022809742834384,0.0,0.0
