event_sample_id,burn_time_seconds,recovery_overhead_hours,degraded_duration_hours
21,7.395222707586058,1.0,1.002054228529885
40,4.932135168221752,1.0,1.0013700375467283
41,5.304911220255626,1.0,1.001473586450071
120,6.605192976813434,1.0,1.0018347758268926
133,4.843728941651992,1.0,1.00134548026157
163,2.968264744229998,1.0,1.0008245179845083
237,5.2358386919258315,1.0,1.001454399636646
273,4.740707895787466,1.0,1.0013168633043854
274,6.3951624731372725,1.0,1.001776434020316
300,5.189734899705911,1.0,1.001441593027696
319,8.955072895300109,1.0,1.0024875202486945
350,6.160999988518778,1.0,1.0017113888856997
394,3.7713353723701992,1.0,1.0010475931589917
402,5.501596317378343,1.0,1.0015282211992718
457,5.922182623493555,1.0,1.0016450507287482
503,3.4861431463408366,1.0,1.0009683730962058
560,7.632807386758689,1.0,1.0021202242740996
569,4.127672453528319,1.0,1.0011465756815356
633,7.427069847658352,1.0,1.0020630749576829
653,6.282490134545338,1.0,1.0017451361484848
668,4.538368982572649,1.0,1.0012606580507146
734,4.094336059072212,1.0,1.0011373155719645
740,4.4792257792722445,1.0,1.0012442293831312
812,3.52224608053584,1.0,1.0009784016890377
834,2.7562730937273017,1.0,1.0007656314149243
869,5.284713785547712,1.0,1.001467976051541
910,3.6502418964635908,1.0,1.001013956082351
919,2.694449518987696,1.0,1.0007484581997188
1005,4.233997185606242,1.0,1.001176110329335
1026,4.220410242768224,1.0,1.0011723361785467
1044,3.302029135849782,1.0,1.0009172303155138
1056,7.7693282809641495,1.0,1.0021581467447123
1066,2.980801877308892,1.0,1.0008280005214747
1080,6.164920439494637,1.0,1.0017124778998596
1082,6.154961704250184,1.0,1.001709711584514
1093,6.468982745170848,1.0,1.0017969396514363
1123,4.962104572078729,1.0,1.001378362381133
1135,6.31095049357322,1.0,1.0017530418037703
1153,4.6939407138332,1.0,1.0013038724205092
1198,6.017743074643267,1.0,1.001671595298512
1231,5.73294992260136,1.0,1.0015924860896115
1269,5.877728117699466,1.0,1.0016327022549165
1275,7.2174495353622525,1.0,1.0020048470931562
1288,3.7133632122074545,1.0,1.0010314897811687
1291,5.475299716527093,1.0,1.0015209165879242
1295,4.244899126591406,1.0,1.0011791386462754
1304,6.3054793743339665,1.0,1.001751522048426
1356,4.295955630772674,1.0,1.001193321008548
1426,3.221747220171256,1.0,1.000894929783381
1430,3.3417061607417864,1.0,1.0009282517113172
1440,7.940694416460392,1.0,1.0022057484490168
1468,4.415890774452347,1.0,1.0012266363262368
1483,4.897217718809088,1.0,1.0013603382552247
1501,7.534892587686759,1.0,1.0020930257188019
1505,5.31625275839227,1.0,1.0014767368773312
1541,4.333269809929607,1.0,1.0012036860583138
1549,3.7096263822052222,1.0,1.0010304517728348
1556,5.575421229361144,1.0,1.001548728119267
1557,3.9183699495622726,1.0,1.0010884360971006
1597,5.167190132007615,1.0,1.0014353305922243
1605,10.066138574234884,1.0,1.0027961496039541
1673,6.097404061722056,1.0,1.0016937233504783
1695,2.8551086309417606,1.0,1.0007930857308172
1697,5.0660360819178685,1.0,1.0014072322449772
1699,5.204502750596074,1.0,1.001445695208499
1723,4.288073894427491,1.0,1.001191131637341
1745,4.341109237186558,1.0,1.0012058636769963
1780,7.159149604155601,1.0,1.001988652667821
1794,5.810693064275263,1.0,1.0016140814067431
1816,3.2027533918834727,1.0,1.0008896537199676
1856,7.123485044254263,1.0,1.0019787458456262
1903,3.770820070137315,1.0,1.0010474500194826
1937,3.3770902271610836,1.0,1.0009380806186559
2018,3.661600175880597,1.0,1.0010171111599668
2020,6.0495436589898866,1.0,1.0016804287941639
2069,3.1825451186143106,1.0,1.0008840403107262
2071,7.776006428429572,1.0,1.0021600017856749
2108,4.0801121034596655,1.0,1.0011333644731832
2145,4.591452666759377,1.0,1.0012754035185443
2178,3.5811676142335713,1.0,1.0009947687817315
2184,5.367662461805001,1.0,1.0014910173505014
2209,9.205574145597417,1.0,1.0025571039293326
2290,4.632258071710371,1.0,1.0012867383532529
2365,4.839332491481674,1.0,1.0013442590254116
2395,3.8933995052492065,1.0,1.0010814998625692
2437,4.730364715715041,1.0,1.0013139901988097
2440,6.488153572055211,1.0,1.0018022648811264
2455,3.3350475935553625,1.0,1.000926402109321
2463,7.124334152718603,1.0,1.0019789817090885
2468,7.4435927259671075,1.0,1.002067664646102
2471,5.389444918139663,1.0,1.0014970680328166
2498,3.932872732724668,1.0,1.001092464647979
2559,3.517788320107851,1.0,1.0009771634222522
2615,3.476585151874545,1.0,1.000965718097743
2638,3.488990950359039,1.0,1.0009691641528775
2650,5.191711949818334,1.0,1.0014421422082829
2653,3.7942207156042684,1.0,1.001053950198779
2704,5.44595989030654,1.0,1.0015127666361963
2737,6.7661589017569135,1.0,1.0018794885838214
2741,3.917953918407946,1.0,1.001088320532891
2750,9.48737180758652,1.0,1.002635381057663
2804,5.665672698647928,1.0,1.0015737979718466
2806,4.964869080017298,1.0,1.0013791303000048
2812,5.7917471340593885,1.0,1.0016088186483498
2849,2.727582867533318,1.0,1.0007576619076481
2852,3.5519672271492553,1.0,1.000986657563097
2867,2.794748233264066,1.0,1.0007763189536845
2879,4.257930083768713,1.0,1.0011827583566024
2887,5.623980995451738,1.0,1.001562216943181
2903,7.991499814404257,1.0,1.0022198610595567
3009,6.13774658811117,1.0,1.0017049296078087
3026,3.689166935146293,1.0,1.0010247685930962
3056,5.2498156272093865,1.0,1.0014582821186693
3072,6.706205965658096,1.0,1.0018628349904606
3082,6.619193993321204,1.0,1.0018386649981448
3087,3.681087985673681,1.0,1.001022524440465
3119,4.303079418306943,1.0,1.0011952998384186
3138,3.5333939150953064,1.0,1.0009814983097487
3185,7.928991718064449,1.0,1.0022024976994623
3201,3.6690355982360146,1.0,1.0010191765550656
3204,4.767938837214825,1.0,1.001324427454782
3212,8.544923089480871,1.0,1.002373589747078
3220,4.015663304297412,1.0,1.0011154620289715
3240,2.8242562772155644,1.0,1.0007845156325599
3364,5.377619463272332,1.0,1.0014937831842423
3435,6.298007302557451,1.0,1.0017494464729326
3440,2.726054157770541,1.0,1.0007572372660474
3453,6.787025366195643,1.0,1.0018852848239432
3479,4.525736849458717,1.0,1.0012571491248496
3579,4.488708474073633,1.0,1.0012468634650205
3706,3.4213605168599948,1.0,1.00095037792135
3713,2.8997819757619503,1.0,1.0008054949932672
3737,2.8424739011873257,1.0,1.0007895760836631
3746,4.055202818347503,1.0,1.0011264452273188
3749,7.946482568012048,1.0,1.0022073562688922
3792,3.6665540938987995,1.0,1.0010184872483052
3881,7.851719894964315,1.0,1.0021810333041568
3962,3.6648173942483098,1.0,1.0010180048317356
4003,6.585828452436626,1.0,1.0018293967923435
4005,8.548452097166148,1.0,1.0023745700269906
4006,5.967275012067841,1.0,1.001657576392241
4040,5.992080759498375,1.0,1.0016644668776384
4086,5.774573309049291,1.0,1.0016040481414026
4146,3.5349224977421656,1.0,1.0009819229160395
4149,3.9752943242770122,1.0,1.0011042484234103
4163,4.414182032475633,1.0,1.0012261616756877
4168,7.045265146850266,1.0,1.0019570180963473
