demand_level,time_seconds,scenario,state_basis,maneuvering_satellite_count,failed_satellite_count,active_satellite_count,total_available_capacity_gbps,throughput_gbps,service_ratio,blocked_gbps,maximum_utilization,throughput_change_gbps,service_ratio_change,blocked_increase_gbps
mean,21600.0,正常基准,Standard代表时刻,0,0,1840,36800.0,2605.2595292320098,0.011590126338040855,222177.4092050237,1.0000000000000007,0.0,0.0,0.0
mean,21600.0,仅避撞,并发机动数取泊松95%分位,4,0,1840,36760.0,2605.2595292320098,0.011590126338040855,222177.4092050237,1.0000000000000007,0.0,0.0,0.0
mean,21600.0,避撞加失效,至少一颗失效的条件压力情景,4,1,1839,36740.0,2605.2595292320098,0.011590126338040855,222177.4092050237,1.0000000000000007,0.0,0.0,0.0
mean,21600.0,在轨备用接替,失效位置已由在轨备用恢复,4,0,1840,36760.0,2605.2595292320098,0.011590126338040855,222177.4092050237,1.0000000000000007,0.0,0.0,0.0
peak,0.0,正常基准,Standard代表时刻,0,0,1840,36800.0,2649.238078373216,0.007857183691521514,334524.7650230105,1.0000000000000009,0.0,0.0,0.0
peak,0.0,仅避撞,并发机动数取泊松95%分位,4,0,1840,36760.0,2620.4420123039413,0.007771779520961495,334553.56108907977,1.0000000000000007,-28.79606606927473,-8.54041705600191e-05,28.796066069277003
peak,0.0,避撞加失效,至少一颗失效的条件压力情景,4,1,1839,36740.0,2559.1421664439054,0.007589974739761908,334614.86093493976,1.0000000000000009,-90.09591192931066,-0.0002672089517596057,90.09591192926746
peak,0.0,在轨备用接替,失效位置已由在轨备用恢复,4,0,1840,36760.0,2620.4420123039413,0.007771779520961495,334553.56108907977,1.0000000000000007,-28.79606606927473,-8.54041705600191e-05,28.796066069277003
