time_hours,maneuvering_satellite_count,failed_satellite_count,available_capacity_gbps,available_capacity_ratio,basic_coverage_indicator,recommended_candidate_id
0.0,1.4527938884867702,0.0,36785.472061115135,0.9996052190520416,1,0
1.0,0.8122543479782265,0.0,36791.87745652022,0.9997792787097886,1,0
2.0,1.608478015401201,0.0,36783.91521984599,0.9995629135827714,1,0
3.0,1.1337022998853667,0.0,36788.66297700115,0.9996919287228572,1,0
4.0,0.0,0.0,36800.0,1.0,1,0
5.0,1.529037923349163,0.0,36784.70962076651,0.9995845005643074,1,0
6.0,3.429594816720438,0.0,36765.70405183279,0.9990680448867608,1,0
7.0,4.511517381235665,0.0,36754.88482618764,0.9987740441898816,1,0
8.0,1.5459439341382115,0.0,36784.54056065862,0.9995799065396364,1,0
9.0,0.5446481178745071,0.0,36794.55351882125,0.9998519977940558,1,0
10.0,2.509944670075805,0.0,36774.900553299245,0.9993179498179142,1,0
11.0,2.0470559051226798,0.0,36779.529440948776,0.9994437348083908,1,0
12.0,1.8307222571522173,0.0,36781.69277742848,0.999502521125774,1,0
13.0,0.8588292001078788,0.0,36791.41170799892,0.9997666224999708,1,0
14.0,1.7674051482832205,0.0,36782.325948517166,0.9995197268618796,1,0
15.0,2.1487615974730474,0.0,36778.51238402527,0.9994160973919912,1,0
16.0,0.4694956512400594,0.0,36795.3050434876,0.9998724196599892,1,0
17.0,1.955002613842588,0.0,36780.44997386158,0.9994687492897169,1,0
18.0,1.7359734946720913,0.0,36782.64026505328,0.9995282680721,1,0
19.0,2.5482890162882263,0.0,36774.51710983712,0.9993075301586174,1,0
20.0,1.6121252701863007,0.0,36783.878747298135,0.9995619224809276,1,0
21.0,1.3302107220413824,0.0,36786.69789277959,0.9996385296950976,1,0
22.0,2.297907109037805,0.0,36777.02092890962,0.9993755687203704,1,0
23.0,1.162665729431506,0.0,36788.37334270569,0.999684058225698,1,0
24.0,1.308972929994443,0.0,36786.91027070006,0.9996443008342408,1,0
25.0,0.9089056637701276,0.0,36790.9109433623,0.99975301476528,1,0
26.0,0.1978835300538541,0.0,36798.021164699465,0.999946227301616,1,0
27.0,0.8040092921418882,0.0,36791.95990707858,0.999781519214092,1,0
28.0,1.2998898500202998,0.0,36787.001101499794,0.9996467690624944,1,0
29.0,1.4386896226730244,0.0,36785.61310377327,0.9996090517329692,1,0
30.0,0.265033961282981,0.0,36797.34966038717,0.9999279799018252,1,0
31.0,0.0,0.0,36800.0,1.0,1,0
32.0,0.0,0.0,36800.0,1.0,1,0
33.0,1.4591934542670728,0.0,36785.408065457326,0.9996034800396012,1,0
34.0,2.0870503974447274,0.0,36779.12949602556,0.9994328667398248,1,0
35.0,1.3972275415353224,0.0,36786.027724584645,0.9996203186028436,1,0
36.0,2.381238109207878,0.0,36776.18761890792,0.9993529244268456,1,0
37.0,3.200882350721322,0.0,36767.99117649279,0.9991301950133912,1,0
38.0,1.4929248271704978,0.0,36785.07075172829,0.99959431390566,1,0
39.0,1.5920762385385174,0.0,36784.07923761461,0.9995673705873536,1,0
40.0,1.0417742447720073,0.0,36789.58225755228,0.9997169091726164,1,0
41.0,0.8463298915839559,0.0,36791.53670108416,0.9997700190512,1,0
42.0,1.461543250442297,0.0,36785.38456749557,0.999602841508032,1,0
43.0,1.1661475564564583,0.0,36788.33852443544,0.99968311207705,1,0
44.0,2.5520566235804907,0.0,36774.479433764194,0.999306506352288,1,0
45.0,3.3569597471025574,0.0,36766.430402528975,0.9990877826774178,1,0
46.0,2.3191132168745483,0.0,36776.808867831256,0.9993698061910667,1,0
47.0,3.557552804465608,0.0,36764.42447195535,0.9990332736944388,1,0
48.0,1.7683716561538887,0.0,36782.316283438464,0.9995194642238712,1,0
49.0,2.4032141619772034,0.0,36775.96785838023,0.9993469526733758,1,0
50.0,0.966562052379345,0.0,36790.33437947621,0.9997373472683752,1,0
51.0,0.5034879687840501,0.0,36794.96512031216,0.9998631826171784,1,0
52.0,2.220628647926418,0.0,36777.79371352074,0.999396568302194,1,0
53.0,2.633915010519232,0.0,36773.6608498948,0.9992842622254025,1,0
54.0,1.5998735472438668,0.0,36784.00126452757,0.9995652517534664,1,0
55.0,0.9272278587601548,0.0,36790.7277214124,0.9997480359079456,1,0
56.0,0.1253359871475368,0.0,36798.74664012853,0.9999659413078404,1,0
57.0,0.2287295034378758,0.0,36797.71270496562,0.9999378452436308,1,0
58.0,3.7501944020347935,0.0,36762.49805597965,0.9989809254342296,1,0
59.0,2.647666685695881,0.0,36773.52333314304,0.999280525357148,1,0
60.0,2.204781201829768,0.0,36777.9521879817,0.999400874673416,1,0
