time_hours,maneuvering_satellite_count,failed_satellite_count,available_capacity_gbps,available_capacity_ratio
0.0,1.4527938884867702,0.0,36785.472061115135,0.9996052190520417
1.0,0.8122543479782265,0.0,36791.87745652022,0.9997792787097886
2.0,1.608478015401201,0.0,36783.915219845985,0.9995629135827714
3.0,1.1337022998853667,0.0,36788.66297700115,0.9996919287228573
4.0,0.0,0.0,36800.0,1.0
5.0,1.529037923349163,0.0,36784.70962076651,0.9995845005643074
6.0,3.4295948167204386,0.0,36765.70405183279,0.9990680448867607
7.0,4.511517381235665,0.0,36754.88482618764,0.9987740441898816
8.0,1.5459439341382115,0.0,36784.54056065862,0.9995799065396365
9.0,0.5446481178745071,0.0,36794.55351882125,0.9998519977940558
10.0,2.5099446700758055,0.0,36774.900553299245,0.9993179498179142
11.0,2.0470559051226793,0.0,36779.529440948776,0.9994437348083907
12.0,1.8307222571522175,0.0,36781.69277742848,0.9995025211257739
13.0,0.8588292001078788,0.0,36791.41170799892,0.9997666224999707
14.0,1.7674051482832205,0.0,36782.325948517166,0.9995197268618795
15.0,2.1487615974730474,0.0,36778.51238402527,0.9994160973919911
16.0,0.46949565124005943,0.0,36795.3050434876,0.9998724196599891
17.0,1.9550026138425878,0.0,36780.44997386158,0.9994687492897167
18.0,1.7359734946720913,0.0,36782.64026505328,0.9995282680720999
19.0,2.5482890162882263,0.0,36774.51710983712,0.9993075301586174
20.0,1.6121252701863007,0.0,36783.878747298135,0.9995619224809276
21.0,1.3302107220413824,0.0,36786.697892779586,0.9996385296950975
22.0,2.297907109037805,0.0,36777.020928909624,0.9993755687203703
23.0,1.162665729431506,0.0,36788.37334270569,0.9996840582256981
24.0,1.308972929994443,0.0,36786.91027070006,0.9996443008342407
25.0,0.9089056637701276,0.0,36790.9109433623,0.9997530147652799
26.0,0.19788353005385417,0.0,36798.021164699465,0.9999462273016159
27.0,0.8040092921418882,0.0,36791.959907078584,0.999781519214092
28.0,1.2998898500202998,0.0,36787.001101499794,0.9996467690624944
29.0,1.4386896226730244,0.0,36785.61310377327,0.9996090517329693
30.0,0.26503396128298107,0.0,36797.34966038717,0.9999279799018252
31.0,0.0,0.0,36800.0,1.0
32.0,0.0,0.0,36800.0,1.0
33.0,1.4591934542670728,0.0,36785.408065457326,0.9996034800396013
34.0,2.0870503974447274,0.0,36779.129496025555,0.9994328667398249
35.0,1.3972275415353224,0.0,36786.027724584645,0.9996203186028436
36.0,2.381238109207878,0.0,36776.18761890792,0.9993529244268456
