event_sample_id,delta_v_required_mps,delta_v_commanded_mps,delta_v_actual_mps,delta_v_limited
21,0.0033675274214000433,0.0033675274214000433,0.0032578073601698975,False
40,0.0021746361283384707,0.0021746361283384707,0.0021727467701418662,False
41,0.002268587052448513,0.002268587052448513,0.0023369652952667406,False
120,0.0029612832895716773,0.0029612832895716773,0.0029097766417681688,False
133,0.0021526779164173456,0.0021526779164173456,0.0021338012958818007,False
163,0.0012979009891467728,0.0012979009891467728,0.0013076056141983284,False
237,0.002341108570334977,0.002341108570334977,0.002306536868689716,False
273,0.0021064295204154013,0.0021064295204154013,0.0020884175752368954,False
274,0.002793302501803314,0.002793302501803314,0.0028172521908095094,False
300,0.0022629144370157404,0.0022629144370157404,0.0022862268280642536,False
319,0.0038251656416858106,0.0038251656416858106,0.003944966033171912,False
350,0.002712081056704742,0.002712081056704742,0.002714096911241781,False
394,0.001646192831973623,0.001646192831973623,0.0016613812213085145,False
402,0.0024981424958852435,0.0024981424958852435,0.00242361071250139,False
457,0.0026070581894506025,0.0026070581894506025,0.0026088910235654286,False
503,0.0015447828851931707,0.0015447828851931707,0.0015357458794452849,False
560,0.0033112727229368676,0.0033112727229368676,0.003362470214431299,False
569,0.0017990674990346262,0.0017990674990346262,0.0018183579090432396,False
633,0.0032627434419238706,0.0032627434419238706,0.003271836937294305,False
653,0.0028147324777726183,0.0028147324777726183,0.0027676167993593297,False
668,0.001963360165846657,0.001963360165846657,0.0019992814901200083,False
734,0.0018047025862911248,0.0018047025862911248,0.0018036722727188639,False
740,0.0019971151183151683,0.0019971151183151683,0.001973227215538513,False
812,0.0015249845230339391,0.0015249845230339391,0.0015516502557427053,False
834,0.001217093578190231,0.001217093578190231,0.0012142172219061721,False
869,0.0023193574275505997,0.0023193574275505997,0.002328067746937485,False
910,0.0015932766718011206,0.0015932766718011206,0.0016080360777371075,False
919,0.001176927593081518,0.001176927593081518,0.0011869821669550009,False
1005,0.0018722051092554118,0.0018722051092554118,0.0018651969980645262,False
1026,0.0018809969805638187,0.0018809969805638187,0.0018592115606907743,False
1044,0.0014853532396573346,0.0014853532396573346,0.001454638385836979,False
1056,0.0034720645578614506,0.0034720645578614506,0.0034226115775171442,False
1066,0.0013481709242450799,0.0013481709242450799,0.0013131285803123448,False
1080,0.0027633638008819667,0.0027633638008819667,0.0027158239821562825,False
1082,0.002609891349808621,0.002609891349808621,0.0027114368741190855,False
1093,0.002832888054097958,0.002832888054097958,0.00284977213443641,False
1123,0.0022658569683800082,0.0022658569683800082,0.0021859491506955814,False
1135,0.0027680790284434482,0.0027680790284434482,0.0027801544024552848,False
1153,0.0021370550534421193,0.0021370550534421193,0.0020678152924376208,False
1198,0.002636461816129442,0.002636461816129442,0.002650988138609514,False
1231,0.00251052351528019,0.00251052351528019,0.0025255286002649493,False
1269,0.002648161552408951,0.002648161552408951,0.0025893075408366197,False
1275,0.0031557127037828417,0.0031557127037828417,0.0031794931873843366,False
1288,0.0016431946858145917,0.0016431946858145917,0.001635842824761096,False
1291,0.0024744997847920168,0.0024744997847920168,0.002412026306840162,False
1295,0.0018776503478659585,0.0018776503478659585,0.0018699996152386608,False
1304,0.002741722631601602,0.002741722631601602,0.0027777442177681273,False
1356,0.0018377763333670076,0.0018377763333670076,0.0018924914673006299,False
1426,0.0014404206439330859,0.0014404206439330859,0.0014192719031592034,False
1430,0.001438391219102262,0.001438391219102262,0.001472117251428054,False
1440,0.0034669718315274672,0.0034669718315274672,0.003498103267163145,False
1468,0.001940341608891312,0.001940341608891312,0.0019453263323578982,False
1483,0.0020851247567922333,0.0020851247567922333,0.0021573646338366886,False
1501,0.003363906985645682,0.003363906985645682,0.003319335941712342,False
1505,0.00236851631968576,0.00236851631968576,0.0023419615675737723,False
1541,0.0019295316925925419,0.0019295316925925419,0.00190892943168708,False
1549,0.0015990140838276052,0.0015990140838276052,0.0016341966441433338,False
1556,0.0025084215284030334,0.0025084215284030334,0.002456132700159254,False
