latitude_deg,longitude_deg,area_weight,availability1,availability2,mean_multiplicity,max_gap_time_min,max_double_gap_time_min
4.0,73.0,0.0013679890560875513,1.0,1.0,2.388888888888889,0.0,0.0
4.0,74.98333884677,0.0013679890560875513,1.0,1.0,2.4097222222222223,0.0,0.0
4.0,76.966677693539,0.0013679890560875513,1.0,1.0,2.4131944444444446,0.0,0.0
4.0,78.950016540309,0.0013679890560875513,1.0,1.0,2.3958333333333335,0.0,0.0
4.0,80.933355387079,0.0013679890560875513,1.0,1.0,2.423611111111111,0.0,0.0
4.0,82.916694233848,0.0013679890560875513,1.0,1.0,2.40625,0.0,0.0
4.0,84.900033080618,0.0013679890560875513,1.0,1.0,2.3854166666666665,0.0,0.0
4.0,86.883371927388,0.0013679890560875513,1.0,1.0,2.420138888888889,0.0,0.0
4.0,88.866710774157,0.0013679890560875513,1.0,1.0,2.420138888888889,0.0,0.0
4.0,90.850049620927,0.0013679890560875513,1.0,1.0,2.423611111111111,0.0,0.0
4.0,92.833388467697,0.0013679890560875513,1.0,1.0,2.4270833333333335,0.0,0.0
4.0,94.816727314466,0.0013679890560875513,1.0,1.0,2.3958333333333335,0.0,0.0
4.0,96.800066161236,0.0013679890560875513,1.0,1.0,2.4027777777777777,0.0,0.0
4.0,98.783405008006,0.0013679890560875513,1.0,1.0,2.4131944444444446,0.0,0.0
4.0,100.766743854775,0.0013679890560875513,1.0,1.0,2.3993055555555554,0.0,0.0
4.0,102.750082701545,0.0013679890560875513,1.0,1.0,2.420138888888889,0.0,0.0
4.0,104.733421548315,0.0013679890560875513,1.0,1.0,2.4409722222222223,0.0,0.0
4.0,106.716760395084,0.0013679890560875513,1.0,1.0,2.3993055555555554,0.0,0.0
4.0,108.700099241854,0.0013679890560875513,1.0,1.0,2.4131944444444446,0.0,0.0
4.0,110.683438088624,0.0013679890560875513,1.0,1.0,2.423611111111111,0.0,0.0
4.0,112.666776935393,0.0013679890560875513,1.0,1.0,2.4027777777777777,0.0,0.0
4.0,114.650115782163,0.0013679890560875513,1.0,1.0,2.4131944444444446,0.0,0.0
4.0,116.633454628933,0.0013679890560875513,1.0,1.0,2.4270833333333335,0.0,0.0
4.0,118.616793475702,0.0013679890560875513,1.0,1.0,2.40625,0.0,0.0
4.0,120.600132322472,0.0013679890560875513,1.0,1.0,2.420138888888889,0.0,0.0
4.0,122.583471169242,0.0013679890560875513,1.0,1.0,2.420138888888889,0.0,0.0
4.0,124.566810016011,0.0013679890560875513,1.0,1.0,2.40625,0.0,0.0
4.0,126.550148862781,0.0013679890560875513,1.0,1.0,2.420138888888889,0.0,0.0
4.0,128.533487709551,0.0013679890560875513,1.0,1.0,2.4131944444444446,0.0,0.0
4.0,130.51682655632,0.0013679890560875513,1.0,1.0,2.3993055555555554,0.0,0.0
4.0,132.50016540309,0.0013679890560875513,1.0,1.0,2.4305555555555554,0.0,0.0
4.0,134.48350424986,0.0013679890560875513,1.0,1.0,2.3993055555555554,0.0,0.0
4.0,135.0,0.0013679890560875513,1.0,1.0,2.4166666666666665,0.0,0.0
5.978507533021,73.0,0.0013679890560875513,1.0,1.0,2.4270833333333335,0.0,0.0
5.978507533021,74.989327414166,0.0013679890560875513,1.0,1.0,2.4131944444444446,0.0,0.0
5.978507533021,76.978654828331,0.0013679890560875513,1.0,1.0,2.4305555555555554,0.0,0.0
5.978507533021,78.967982242497,0.0013679890560875513,1.0,1.0,2.4305555555555554,0.0,0.0
5.978507533021,80.957309656663,0.0013679890560875513,1.0,1.0,2.420138888888889,0.0,0.0
5.978507533021,82.946637070829,0.0013679890560875513,1.0,1.0,2.4131944444444446,0.0,0.0
5.978507533021,84.935964484994,0.0013679890560875513,1.0,1.0,2.4340277777777777,0.0,0.0
5.978507533021,86.92529189916,0.0013679890560875513,1.0,1.0,2.40625,0.0,0.0
5.978507533021,88.914619313326,0.0013679890560875513,1.0,1.0,2.4270833333333335,0.0,0.0
5.978507533021,90.903946727492,0.0013679890560875513,1.0,1.0,2.420138888888889,0.0,0.0
5.978507533021,92.893274141657,0.0013679890560875513,1.0,1.0,2.420138888888889,0.0,0.0
5.978507533021,94.882601555823,0.0013679890560875513,1.0,1.0,2.4166666666666665,0.0,0.0
5.978507533021,96.871928969989,0.0013679890560875513,1.0,1.0,2.4340277777777777,0.0,0.0
5.978507533021,98.861256384155,0.0013679890560875513,1.0,1.0,2.40625,0.0,0.0
5.978507533021,100.85058379832,0.0013679890560875513,1.0,1.0,2.4270833333333335,0.0,0.0
5.978507533021,102.839911212486,0.0013679890560875513,1.0,1.0,2.4375,0.0,0.0
5.978507533021,104.829238626652,0.0013679890560875513,1.0,1.0,2.4270833333333335,0.0,0.0
5.978507533021,106.818566040818,0.0013679890560875513,1.0,1.0,2.4305555555555554,0.0,0.0
5.978507533021,108.807893454983,0.0013679890560875513,1.0,1.0,2.420138888888889,0.0,0.0
5.978507533021,110.797220869149,0.0013679890560875513,1.0,1.0,2.40625,0.0,0.0
5.978507533021,112.786548283315,0.0013679890560875513,1.0,1.0,2.4375,0.0,0.0
