M,N,inclination_deg,phase_factor_F,Omega0_deg,u0_deg,total_satellites,feasible,constraint_violation,Q1_full_region,Q2_full_region,P1_space_time,P2_space_time,mean_multiplicity,worst_A1,worst_A2,max_gap_time_min,max_double_gap_time_min,min_availability1,min_availability2,mean_availability1,mean_availability2,std_availability1,std_mean_multiplicity,min_angular_margin_deg,worst_grid_latitude_deg,worst_grid_longitude_deg,worst_double_grid_latitude_deg,worst_double_grid_longitude_deg,sample_count,grid_point_count,simulation_duration_seconds,coverage_method,single_feasible,double_feasible,upper_reach_deg,geometric_prefilter_failed,generation_evaluated,seed,search_stage,scenario,refinement_iteration
48,46,53.5,1,0.0,0.0,2208,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,4.228268923848608,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.170960906536663,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,58.050567325948776,False,0.0,20360710.0,main_ga,double,
50,45,53.75,1,0.0,0.0,2250,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,4.282261741906066,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.204041257127272,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,58.300567325948776,False,0.0,20360710.0,main_ga,double,
55,45,54.0,1,0.0,0.0,2475,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,4.67669858641131,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.3992355184561243,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,58.550567325948776,False,0.0,20360710.0,main_ga,double,
60,45,53.5,1,0.0,0.0,2700,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,5.170770633834928,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.6549224848111823,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,58.050567325948776,False,0.0,20360710.0,main_ga,double,
60,50,53.75,1,0.0,0.0,3000,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,5.7104660662714695,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.9395099982232833,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,58.300567325948776,False,0.0,20360710.0,main_ga,double,
41,35,54.67037329951724,17,1.435252702657688,5.59225836766434,1435,False,195.62911821705427,0.0,0.0,0.9703412372701021,0.7882229442164468,2.6541362669098643,0.9589603283173739,0.763337893296854,10.0,20.0,0.84375,0.5972222222222222,0.9703412372701024,0.7882229442164467,0.04632085691849957,1.3477091283977747,,4.0,73.0,11.914030132085,97.264791317218,288,731,86400.0,kdtree,False,False,59.220940625466014,False,0.0,20360710.0,main_ga,double,
27,34,50.93367753289249,3,9.781599516051008,7.741588270223627,918,False,196.5252745478036,0.0,0.0,0.908510981912145,0.5693256953944372,1.8291771165830673,0.8919288645690838,0.547195622435021,20.0,45.0,0.7708333333333334,0.2847222222222222,0.9085109819121445,0.569325695394437,0.07111255186941907,0.8771445774362137,,31.699105462297,96.254144588174,9.935522599064,101.120846646661,288,731,86400.0,kdtree,False,False,55.484244858841265,False,0.0,20360710.0,main_ga,double,
35,43,49.46343979864722,30,2.4713742489472312,4.6874340312116445,1505,False,103.0547385620915,0.9201388888888888,0.0,0.9998860009119931,0.9622045523635813,3.0120506535947715,0.9972640218878254,0.9493844049247608,5.0,20.0,0.9930555555555556,0.6423611111111112,0.9998860009119932,0.9622045523635812,0.0006448412377088138,1.444271495039871,,4.0,132.50016540309,53.0,79.575135072763,288,731,86400.0,kdtree,False,False,54.014007124596,False,0.0,20360710.0,main_ga,double,
5,27,59.39851601872418,4,55.95511606574881,12.012156541143364,135,False,204.4748157014744,0.0,0.0,0.19483869129046966,0.01616887064903481,0.21100756193950448,0.16826265389876882,0.008207934336525308,250.0,1440.0,0.11805555555555555,0.0,0.19483869129046974,0.01616887064903481,0.05377695779268184,0.0681120505806802,,27.742090396254,93.119235569015,4.0,73.0,288,731,86400.0,kdtree,False,False,63.94908334467296,False,0.0,20360710.0,main_ga,double,
41,32,51.73385084346419,2,0.5898363353310588,6.271993628210346,1312,False,195.33857254141967,0.0,0.0,0.9891748366013076,0.8564181486548113,2.5987944596443224,0.9808481532147747,0.839945280437757,5.0,15.0,0.8958333333333334,0.6805555555555556,0.9891748366013076,0.8564181486548113,0.023075714320437805,1.2809804474849906,,7.957015066042,118.948051835137,5.978507533021,114.775875697481,288,731,86400.0,kdtree,False,False,56.284418169412966,False,0.0,20360710.0,main_ga,double,
46,46,53.284719023938976,21,5.256128048987874,3.7549950820879836,2116,False,93.61668281653748,1.0,0.013888888888888888,1.0000000000000002,0.9944282945736439,4.0710879312965496,1.0000000000000004,0.986320109439125,0.0,5.0,1.0,0.9305555555555556,1.0000000000000004,0.9944282945736438,0.0,2.0836064549883577,,4.0,73.0,7.957015066042,90.979672457227,288,731,86400.0,kdtree,True,False,57.83528634988775,False,0.0,20360710.0,main_ga,double,
