M,N,inclination_deg,phase_factor_F,Omega0_deg,u0_deg,total_satellites,feasible,constraint_violation,Q1_full_region,Q2_full_region,P1_space_time,P2_space_time,mean_multiplicity,worst_A1,worst_A2,max_gap_time_min,max_double_gap_time_min,min_availability1,min_availability2,mean_availability1,mean_availability2,std_availability1,std_mean_multiplicity,min_angular_margin_deg,worst_grid_latitude_deg,worst_grid_longitude_deg,worst_double_grid_latitude_deg,worst_double_grid_longitude_deg,sample_count,grid_point_count,simulation_duration_seconds,coverage_method,single_feasible,double_feasible,upper_reach_deg,geometric_prefilter_failed,generation_evaluated,seed,search_stage,scenario,refinement_iteration
38,44,53.5,1,0.0,0.0,1672,True,0.0,1.0,0.0,1.0000000000000002,0.9788056695546439,3.202215382276941,1.0000000000000004,0.9630642954856365,0.0,10.0,1.0,0.8854166666666666,1.0000000000000004,0.9788056695546441,0.0,1.6439195622025153,,4.0,73.0,7.957015066042,84.986448304818,288,731,86400.0,kdtree,True,False,58.050567325948776,False,0.0,20260710.0,main_ga,single,
40,42,53.75,1,0.0,0.0,1680,False,42.059194026447784,0.5798611111111112,0.0,0.9992067563459498,0.9861538607691143,3.1979594163246694,0.9958960328317378,0.976744186046512,5.0,10.0,0.9722222222222222,0.9027777777777778,0.9992067563459497,0.9861538607691143,0.003163652989054846,1.6479754893283525,,11.914030132085,75.022065943101,4.0,132.50016540309,288,731,86400.0,kdtree,False,False,58.300567325948776,False,0.0,20260710.0,main_ga,single,
42,40,54.0,1,0.0,0.0,1680,False,2.794967890256875,0.9722222222222222,0.0,0.9999620003039978,0.9836933804529568,3.174109857121142,0.9986320109439129,0.9740082079343368,5.0,10.0,0.9895833333333334,0.8923611111111112,0.999962000303998,0.9836933804529567,0.000512291714649366,1.6348672474137311,,7.957015066042,74.997741384136,5.978507533021,86.92529189916,288,731,86400.0,kdtree,False,False,58.550567325948776,False,0.0,20260710.0,main_ga,single,
45,40,53.5,1,0.0,0.0,1800,True,0.0,1.0,0.05555555555555555,1.0000000000000002,0.9942002963976293,3.4474511703906368,1.0000000000000004,0.986320109439125,0.0,10.0,1.0,0.9583333333333334,1.0000000000000004,0.9942002963976293,0.0,1.769749073392264,,4.0,73.0,4.0,104.733421548315,288,731,86400.0,kdtree,True,False,58.050567325948776,False,0.0,20260710.0,main_ga,single,
60,50,53.75,1,0.0,0.0,3000,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,5.7104660662714695,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.9395099982232833,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,58.300567325948776,False,0.0,20260710.0,main_ga,single,
46,49,55.2706013704048,34,1.6316065822881964,2.279216545035823,2254,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,4.098851459188326,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.0716309578916614,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,59.821168696353574,False,0.0,20260710.0,main_ga,single,
27,45,56.672303143736,12,10.836043095417974,5.272376069607604,1215,False,100.63273293813648,0.0,0.0,0.955711354309166,0.7423098115215083,2.095046739626082,0.9425444596443233,0.7236662106703151,20.0,40.0,0.78125,0.4375,0.955711354309166,0.7423098115215083,0.06632877687408509,0.957592440480709,,4.0,124.566810016011,9.935522599064,109.155374259993,288,731,86400.0,kdtree,False,False,61.22287046968478,False,0.0,20260710.0,main_ga,single,
49,35,49.07862107765456,8,3.578963654233784,9.101502704477841,1715,False,53.86491108071135,0.4618055555555556,0.0,0.9990452576379395,0.9484201626386989,3.4203383872929,0.9958960328317378,0.9316005471956226,5.0,45.0,0.9722222222222222,0.2152777777777778,0.9990452576379388,0.9484201626386989,0.003907432032117961,1.6512412271160386,,17.849552731148,110.414075058969,53.0,105.875675363813,288,731,86400.0,kdtree,False,False,53.62918840360334,False,0.0,20260710.0,main_ga,single,
23,32,47.222600816294914,10,12.604281054956541,3.954675621163458,736,False,124.2683185775631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2268318577563093,53.0,73.0,53.0,73.0,0,0,86400.0,geometric_prefilter,False,False,51.77316814224369,True,0.0,20260710.0,main_ga,single,
2,26,49.42355039670748,0,100.8498246107975,2.7309908904280644,52,False,110.6701293889649,0.0,0.0,0.1042094163246694,7.599939200486396e-05,0.10428541571667427,0.06839945280437756,0.0,660.0,1440.0,0.04861111111111111,0.0,0.1042094163246694,7.599939200486396e-05,0.04944919144215563,0.049393335825725276,,53.0,82.862702609144,4.0,73.0,288,731,86400.0,kdtree,False,False,53.97411772265626,False,0.0,20260710.0,main_ga,single,
