M,N,total_satellites,distance_from_best,certification_priority,selected_for_search,inclination_deg,phase_factor_F,Omega0_deg,u0_deg,feasible,constraint_violation,Q1_full_region,Q2_full_region,P1_space_time,P2_space_time,mean_multiplicity,worst_A1,worst_A2,max_gap_time_min,max_double_gap_time_min,min_availability1,min_availability2,mean_availability1,mean_availability2,std_availability1,std_mean_multiplicity,min_angular_margin_deg,worst_grid_latitude_deg,worst_grid_longitude_deg,worst_double_grid_latitude_deg,worst_double_grid_longitude_deg,sample_count,grid_point_count,simulation_duration_seconds,coverage_method,single_feasible,double_feasible,upper_reach_deg,geometric_prefilter_failed,certification_status,best_seed
29,50,1450,46,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
50,29,1450,46,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
58,25,1450,46,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
38,38,1444,52,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
37,39,1443,53,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
39,37,1443,53,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
30,48,1440,56,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
32,45,1440,56,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
36,40,1440,56,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
40,36,1440,56,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
45,32,1440,56,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
48,30,1440,56,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
60,24,1440,56,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
35,41,1435,61,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
41,35,1435,61,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
53,27,1431,65,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
55,26,1430,66,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
34,42,1428,68,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
42,34,1428,68,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
51,28,1428,68,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
31,46,1426,70,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
46,31,1426,70,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
57,25,1425,71,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
29,49,1421,75,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
49,29,1421,75,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
33,43,1419,77,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
43,33,1419,77,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
59,24,1416,80,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
30,47,1410,86,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
47,30,1410,86,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
32,44,1408,88,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
44,32,1408,88,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
37,38,1406,90,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
38,37,1406,90,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
36,39,1404,92,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
39,36,1404,92,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
52,27,1404,92,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
54,26,1404,92,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
28,50,1400,96,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
35,40,1400,96,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
40,35,1400,96,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
50,28,1400,96,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
56,25,1400,96,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
31,45,1395,101,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
45,31,1395,101,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
34,41,1394,102,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
41,34,1394,102,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
29,48,1392,104,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
48,29,1392,104,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
58,24,1392,104,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
33,42,1386,110,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
42,33,1386,110,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
30,46,1380,116,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
46,30,1380,116,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
60,23,1380,116,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
53,26,1378,118,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
51,27,1377,119,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
32,43,1376,120,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
43,32,1376,120,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
55,25,1375,121,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
28,49,1372,124,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
49,28,1372,124,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
37,37,1369,127,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
36,38,1368,128,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
38,36,1368,128,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
57,24,1368,128,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
35,39,1365,131,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
39,35,1365,131,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
31,44,1364,132,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
44,31,1364,132,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
29,47,1363,133,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
47,29,1363,133,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
34,40,1360,136,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
40,34,1360,136,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
59,23,1357,139,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
33,41,1353,143,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
41,33,1353,143,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
52,26,1352,144,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
27,50,1350,146,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
30,45,1350,146,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
45,30,1350,146,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
50,27,1350,146,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
54,25,1350,146,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
28,48,1344,152,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
32,42,1344,152,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
42,32,1344,152,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
48,28,1344,152,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
56,24,1344,152,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
29,46,1334,162,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
46,29,1334,162,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
58,23,1334,162,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
31,43,1333,163,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
43,31,1333,163,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
36,37,1332,164,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
37,36,1332,164,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
35,38,1330,166,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
38,35,1330,166,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
34,39,1326,170,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
39,34,1326,170,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
51,26,1326,170,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
53,25,1325,171,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
27,49,1323,173,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
49,27,1323,173,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
30,44,1320,176,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
33,40,1320,176,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
40,33,1320,176,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
44,30,1320,176,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
55,24,1320,176,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
60,22,1320,176,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
28,47,1316,180,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
47,28,1316,180,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
32,41,1312,184,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
41,32,1312,184,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
57,23,1311,185,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
29,45,1305,191,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
45,29,1305,191,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
31,42,1302,194,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
42,31,1302,194,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
26,50,1300,196,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
50,26,1300,196,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
52,25,1300,196,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
59,22,1298,198,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
27,48,1296,200,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
36,36,1296,200,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
48,27,1296,200,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
54,24,1296,200,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
35,37,1295,201,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
37,35,1295,201,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
34,38,1292,204,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
38,34,1292,204,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
30,43,1290,206,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
43,30,1290,206,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
28,46,1288,208,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
46,28,1288,208,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
56,23,1288,208,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
33,39,1287,209,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
39,33,1287,209,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
32,40,1280,216,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
40,32,1280,216,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
29,44,1276,220,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
44,29,1276,220,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
58,22,1276,220,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
51,25,1275,221,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
26,49,1274,222,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
49,26,1274,222,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
53,24,1272,224,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
31,41,1271,225,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
41,31,1271,225,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
27,47,1269,227,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
47,27,1269,227,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
55,23,1265,231,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
28,45,1260,236,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
30,42,1260,236,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
35,36,1260,236,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
36,35,1260,236,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
42,30,1260,236,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
45,28,1260,236,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
