satellite_id,plane_index,satellite_index,inclination_deg,raan_deg,initial_argument_of_latitude_deg,phase_factor,altitude_km
214,4,30,50.331343634531606,39.59413675096501,260.9913358996119,28,550.0
215,4,31,50.331343634531606,39.59413675096501,268.81742285613365,28,550.0
216,4,32,50.331343634531606,39.59413675096501,276.6435098126554,28,550.0
217,4,33,50.331343634531606,39.59413675096501,284.46959676917714,28,550.0
218,4,34,50.331343634531606,39.59413675096501,292.2956837256989,28,550.0
219,4,35,50.331343634531606,39.59413675096501,300.12177068222064,28,550.0
220,4,36,50.331343634531606,39.59413675096501,307.94785763874233,28,550.0
221,4,37,50.331343634531606,39.59413675096501,315.7739445952641,28,550.0
222,4,38,50.331343634531606,39.59413675096501,323.6000315517858,28,550.0
223,4,39,50.331343634531606,39.59413675096501,331.4261185083076,28,550.0
224,4,40,50.331343634531606,39.59413675096501,339.25220546482933,28,550.0
225,4,41,50.331343634531606,39.59413675096501,347.078292421351,28,550.0
226,4,42,50.331343634531606,39.59413675096501,354.9043793778728,28,550.0
227,4,43,50.331343634531606,39.59413675096501,2.730466334394521,28,550.0
228,4,44,50.331343634531606,39.59413675096501,10.556553290916213,28,550.0
229,4,45,50.331343634531606,39.59413675096501,18.38264024743802,28,550.0
230,5,0,50.331343634531606,48.59413675096501,31.68698807352492,28,550.0
231,5,1,50.331343634531606,48.59413675096501,39.513075030046664,28,550.0
232,5,2,50.331343634531606,48.59413675096501,47.339161986568406,28,550.0
233,5,3,50.331343634531606,48.59413675096501,55.16524894309014,28,550.0
234,5,4,50.331343634531606,48.59413675096501,62.991335899611876,28,550.0
235,5,5,50.331343634531606,48.59413675096501,70.81742285613362,28,550.0
236,5,6,50.331343634531606,48.59413675096501,78.64350981265537,28,550.0
237,5,7,50.331343634531606,48.59413675096501,86.4695967691771,28,550.0
238,5,8,50.331343634531606,48.59413675096501,94.29568372569884,28,550.0
239,5,9,50.331343634531606,48.59413675096501,102.12177068222057,28,550.0
240,5,10,50.331343634531606,48.59413675096501,109.94785763874233,28,550.0
241,5,11,50.331343634531606,48.59413675096501,117.77394459526404,28,550.0
242,5,12,50.331343634531606,48.59413675096501,125.6000315517858,28,550.0
243,5,13,50.331343634531606,48.59413675096501,133.42611850830752,28,550.0
244,5,14,50.331343634531606,48.59413675096501,141.25220546482927,28,550.0
245,5,15,50.331343634531606,48.59413675096501,149.078292421351,28,550.0
246,5,16,50.331343634531606,48.59413675096501,156.90437937787274,28,550.0
247,5,17,50.331343634531606,48.59413675096501,164.7304663343945,28,550.0
248,5,18,50.331343634531606,48.59413675096501,172.5565532909162,28,550.0
249,5,19,50.331343634531606,48.59413675096501,180.38264024743796,28,550.0
250,5,20,50.331343634531606,48.59413675096501,188.2087272039597,28,550.0
251,5,21,50.331343634531606,48.59413675096501,196.03481416048146,28,550.0
252,5,22,50.331343634531606,48.59413675096501,203.86090111700315,28,550.0
253,5,23,50.331343634531606,48.59413675096501,211.68698807352493,28,550.0
