time_seconds,ground_index,satellite_id,assigned_gbps,assignment_cost_ms
0.0,0,363,0.9856354705537854,29.58646556284682
0.0,1,408,0.9856354705537854,28.965624159341214
0.0,2,408,0.9856354705537854,28.847099606518917
0.0,3,408,0.9856354705537854,28.790929429060263
0.0,4,408,0.9856354705537854,28.80189750544382
0.0,5,408,0.9856354705537854,28.879033555911445
0.0,6,408,0.9856354705537854,29.015999138792733
0.0,7,1335,0.9856354705537854,31.209968162643275
0.0,8,1336,0.9856354705537854,34.517570422333
0.0,9,1336,0.9856354705537854,34.37078176007634
0.0,10,1336,0.9856354705537854,34.28235003890378
0.0,11,1336,0.9856354705537854,34.25938397112762
0.0,12,1336,0.9856354705537854,34.30390992657845
0.0,13,1336,0.9856354705537854,34.412069893359984
0.0,14,1381,0.9856354705537854,31.354571561233634
0.0,15,1381,0.9856354705537854,31.117965946000588
0.0,16,1381,0.9856354705537854,30.925882213687245
0.0,17,1381,0.9856354705537854,30.791456395724005
0.0,18,1381,0.9856354705537854,30.7269779264152
0.0,19,1381,0.9856354705537854,30.739535851879328
0.0,20,1381,0.9856354705537854,30.827680031662098
0.0,21,499,0.9856354705537854,25.35644688503648
0.0,22,499,0.9856354705537854,25.21914411592683
0.0,23,499,0.9856354705537854,25.15311393649836
0.0,24,499,0.9856354705537854,25.16593556987028
0.0,25,499,0.9856354705537854,25.25605980380363
0.0,26,499,0.6028105085870938,25.413622670390865
0.0,26,1426,0.3828249619666916,28.018324126239875
0.0,27,1426,0.9856354705537854,28.0711654422801
0.0,28,544,0.9856354705537854,27.60874855805856
0.0,29,544,0.9856354705537854,27.45520398664248
0.0,30,544,0.9856354705537854,27.362272661717537
0.0,31,544,0.9856354705537854,27.338145323556162
0.0,32,544,0.9856354705537854,27.385177788304382
300.0,0,361,0.9697058692912862,29.59748839602016
300.0,1,361,0.9697058692912862,29.83546565072392
300.0,2,406,0.9697058692912862,27.136653520306936
300.0,3,406,0.9697058692912862,27.013304722325643
300.0,4,406,0.9697058692912862,26.963541575493984
300.0,5,406,0.9697058692912862,26.993226164464897
300.0,6,406,0.9697058692912862,27.09879312257166
300.0,7,406,0.9697058692912862,27.26910439481183
300.0,8,451,0.9697058692912862,27.33514273440732
300.0,9,451,0.9697058692912862,27.140908131313843
300.0,10,451,0.9697058692912862,26.99880447299411
300.0,11,451,0.9697058692912862,26.91959664849767
300.0,12,451,0.9697058692912862,26.910542904427647
300.0,13,451,0.9697058692912862,26.972539954238314
300.0,14,451,0.9697058692912862,27.099727894201436
300.0,15,451,0.9697058692912862,27.281903511238603
300.0,16,1424,0.9697058692912862,27.081829931373306
300.0,17,1425,0.9697058692912862,30.161084287223286
300.0,18,496,0.9697058692912862,27.083220959460444
300.0,19,496,0.9697058692912862,27.045589896584982
300.0,20,496,0.9697058692912862,27.068047587939407
300.0,21,1425,0.9697058692912862,30.130322311951165
300.0,22,497,0.9697058692912862,23.052693522449836
300.0,23,1470,0.9697058692912862,26.820772475570593
300.0,24,1470,0.9697058692912862,26.620535366913856
300.0,25,1470,0.9697058692912862,26.47328677919105
300.0,26,1470,0.9697058692912862,26.39083701094264
300.0,27,1470,0.9697058692912862,26.381296846510885
300.0,28,542,0.9697058692912862,23.284853742524085
300.0,29,542,0.9697058692912862,23.07358784935049
