bin_left_ms,bin_right_ms,count
4.234464066903408,5.703153557756711,124
5.703153557756711,7.171843048610015,11
7.171843048610015,8.640532539463319,222
8.640532539463319,10.109222030316623,60
10.109222030316623,11.577911521169925,117
11.577911521169925,13.04660101202323,267
13.04660101202323,14.515290502876532,63
14.515290502876532,15.983979993729836,331
15.983979993729836,17.45266948458314,88
17.45266948458314,18.92135897543644,223
18.92135897543644,20.39004846628975,205
20.39004846628975,21.85873795714305,118
21.85873795714305,23.327427447996357,246
23.327427447996357,24.796116938849657,98
24.796116938849657,26.264806429702958,189
26.264806429702958,27.733495920556265,95
27.733495920556265,29.202185411409566,120
29.202185411409566,30.670874902262874,89
30.670874902262874,32.139564393116174,80
32.139564393116174,33.608253883969475,57
33.608253883969475,35.07694337482278,50
35.07694337482278,36.54563286567608,30
36.54563286567608,38.014322356529384,28
38.014322356529384,39.48301184738269,25
39.48301184738269,40.95170133823599,18
40.95170133823599,42.4203908290893,17
42.4203908290893,43.8890803199426,14
43.8890803199426,45.3577698107959,7
45.3577698107959,46.82645930164921,6
46.82645930164921,48.29514879250251,2
