time_seconds,actual_region_demand_gbps,eta_sat,satellite_demand_gbps,profile_mode,visible_satellite_count,active_access_satellite_count,visible_access_capacity_gbps,demand_capacity_ratio,optimized_service_ratio,optimized_throughput_gbps,optimized_blocked_gbps,optimized_maximum_utilization,optimized_mean_utilization,optimized_utilization_std,optimized_mean_delay_ms,optimized_p95_delay_ms,optimized_maximum_delay_ms,baseline_minimum_service_ratio,baseline_throughput_gbps,baseline_blocked_gbps,baseline_maximum_utilization,baseline_utilization_std,baseline_mean_delay_ms,baseline_p95_delay_ms,baseline_maximum_delay_ms
0.0,337174.0031013837,1.0,337174.0031013837,problem_spec,191,156,3120.0,108.06859073762297,0.007857183691521514,2649.238078373216,334524.7650230105,1.0000000000000009,0.07199016517318521,0.25127210330921057,21.7762167945132,28.694609868008918,34.74877721140866,0.0,3820.0,333354.0031013837,1.0,0.3050065658284879,23.721088399021195,31.18081483124753,34.517570422333
300.0,337147.2570073514,1.0,337147.2570073514,problem_spec,188,155,3100.0,108.75717967979077,0.007730811036854262,2606.4217355175724,334540.8352718338,1.0000000000000004,0.07082667759558621,0.24923314905545116,21.96105683922988,27.981131015873885,33.18437814406289,0.0,3760.0,333387.2570073514,1.0,0.3028768801623227,24.531635095915412,33.430828495090495,35.22784002067727
600.0,337067.03145494685,1.0,337067.03145494685,problem_spec,187,156,3120.0,108.03430495350861,0.007854159133369181,2647.378103659508,334419.65335128736,1.0000000000000007,0.07193962238205184,0.25133033431793184,23.084786964881435,29.182057397294177,35.96854942115102,0.0,3740.0,333327.03145494685,1.0,0.3021616943103586,26.080356337185204,36.28825388028195,38.4894381446408
900.0,336933.3646271879,1.0,336933.3646271879,problem_spec,186,155,3100.0,108.68818213780254,0.00784171584990739,2642.135705759645,334291.22892142826,1.0000000000000004,0.07179716591738168,0.2512645218259217,23.328636452910242,31.19498462042732,34.60280414395803,0.0,3720.0,333213.3646271879,1.0,0.3014438318209731,24.86532592298872,31.352736744303936,37.42900409821564
1200.0,336746.32014224515,1.0,336746.32014224515,problem_spec,192,156,3120.0,107.93151286610421,0.007832329908281168,2637.5082747537317,334108.8118674914,1.0000000000000009,0.07167142050961227,0.25090359995619965,22.448974135625992,27.910803341951347,32.3534665772396,0.0,3840.0,332906.32014224515,1.0,0.30571123184777294,25.162722529456936,34.47160106025132,36.32248127132117
1500.0,336505.98702316324,1.0,336505.98702316324,problem_spec,189,159,3180.0,105.81949277457963,0.007817186445204684,2630.5300404876953,333875.45698267553,1.0000000000000007,0.07148179457846997,0.25051047968836143,22.25536335339749,29.282439255900528,36.096329647192405,0.0,3780.0,332725.98702316324,1.0,0.30358940829346687,24.035127677231987,30.8815301397067,35.96777596192295
1800.0,336212.47965549043,1.0,336212.47965549043,problem_spec,187,153,3060.0,109.87335936453935,0.007770819236241631,2612.646404371383,333599.833251119,1.0000000000000009,0.07099582620574411,0.24946628497040815,20.75677074723459,29.269738613157863,37.727953578157354,0.0,3740.0,332472.4796554904,1.0,0.3021616943103586,24.48671416568691,37.625740547902325,39.84812257524197
2100.0,335865.93773283745,1.0,335865.93773283745,problem_spec,187,154,3080.0,109.04738238079138,0.007829932666465816,2629.807677407518,333236.13005543,1.0000000000000007,0.07146216514694342,0.251110970172519,20.78599086237436,27.883744350638576,33.980790480026506,0.0,3740.0,332125.9377328375,1.0,0.30216169431035866,24.181681682904248,36.059240902864055,37.87664116010238
2400.0,335466.52619039075,1.0,335466.52619039075,problem_spec,187,156,3120.0,107.5213224969201,0.007924641128288171,2658.451830612332,332808.07435977843,1.0000000000000007,0.0722405388753351,0.25247670110616216,21.4682764608491,28.669430663704187,33.62994456139334,0.0,3740.0,331726.52619039075,1.0,0.30216169431035866,23.524100072724046,30.829115790113406,33.56042258550808
2700.0,335014.43512641254,1.0,335014.43512641254,problem_spec,192,154,3080.0,108.77092049558848,0.007767098258061729,2602.090035495893,332412.3450909167,1.0000000000000009,0.07070896835586667,0.2493043455390028,21.590871229425552,28.498164843312722,33.64626476986687,0.0,3840.0,331174.43512641254,1.0,0.305711231847773,23.721542697050555,30.903500790001708,36.84909635733165
3000.0,334509.8797117641,1.0,334509.8797117641,problem_spec,187,156,3120.0,107.21470503582184,0.007861475861830789,2629.741344897954,331880.13836686616,1.0000000000000007,0.0714603626330966,0.2502454932474648,20.809581975800167,27.991680807980696,33.08894863405034,0.0,3740.0,330769.8797117641,1.0,0.30216169431035866,23.29314123574123,31.705104436144502,36.34594428266743
3300.0,333953.1000874961,1.0,333953.1000874961,problem_spec,185,156,3120.0,107.03625002804363,0.007941691176571546,2652.1523883535824,331300.9476991425,1.0000000000000004,0.07206935837917341,0.25104822990571884,21.067288956719153,31.632335806313243,38.03880577650074,0.0,3700.0,330253.1000874961,1.0,0.30072327352580414,22.446651150646783,32.26520667829493,39.10080518126157
3600.0,333344.36125055474,1.0,333344.36125055474,problem_spec,189,154,3080.0,108.22868871771257,0.00791500549055946,2638.422449545177,330705.9388010096,1.0000000000000007,0.07169626221590156,0.25172416111322554,22.60776795033318,28.230132902068206,34.82743591186844,0.0,3780.0,329564.3612505548,1.0,0.3035894082934668,24.714330554912813,31.841275408141556,34.81836160468644
3900.0,332683.9529276571,1.0,332683.9529276571,problem_spec,189,159,3180.0,104.61759526026954,0.008026730106025608,2670.3643007560313,330013.5886269011,1.0000000000000007,0.07256424730315303,0.25261290166069,21.259960872697075,28.229175618491997,35.01266211062386,0.0,3780.0,328903.9529276571,1.0,0.30358940829346687,23.925544182521314,33.61493616261866,35.13434540470833
4200.0,331972.18943739735,1.0,331972.18943739735,problem_spec,191,155,3100.0,107.08780304432173,0.007900249634165562,2622.6631681559393,329349.5262692414,1.0000000000000009,0.0712680208738027,0.25020173738661045,20.89978602094547,29.607957881640363,36.47290112705024,0.0,3820.0,328152.18943739735,1.0,0.3050065658284879,22.834363363373566,30.616353157829014,36.442389958715395
4500.0,331209.40954064793,1.0,331209.40954064793,problem_spec,185,155,3100.0,106.84174501311223,0.007961793156764178,2637.020810336635,328572.3887303113,1.0000000000000009,0.0716581741939303,0.25015648463561235,19.293048208263034,29.542947012062324,36.09659556323741,0.0,3700.0,327509.40954064793,1.0,0.30072327352580414,21.170170004148023,30.134752420635515,35.802325281467425
4800.0,330395.97627932753,1.0,330395.97627932753,problem_spec,187,156,3120.0,105.8961462433742,0.008046491568430073,2658.528437374832,327737.4478419527,1.0000000000000007,0.07224262058083783,0.2526925640949739,22.487669978936463,30.01465823390053,35.2321287659349,0.0,3740.0,326655.97627932753,1.0,0.3021616943103586,24.44553998752651,31.329930544903732,38.468569538328666
5100.0,329532.27680361323,1.0,329532.27680361323,problem_spec,190,154,3080.0,106.99099896221209,0.007906080426827045,2605.3086836447983,326926.9681199684,1.0000000000000009,0.07079643162078256,0.2489299917160351,23.349181134704384,28.631457051717938,33.6760911899398,0.0,3800.0,325732.27680361323,1.0,0.30429929737324823,25.920844147828195,34.06524190886389,37.588952308612306
5400.0,328618.72218767763,1.0,328618.72218767763,problem_spec,189,156,3120.0,105.32651352169155,0.007970353418139573,2619.207355653215,325999.5148320244,1.0000000000000009,0.0711741129253591,0.24945531310000973,22.00277607026307,29.279192520901134,36.760534587141834,0.0,3780.0,324838.72218767763,1.0,0.3035894082934668,25.22269176031427,36.89671103463498,38.10059057371674
5700.0,327655.74723403994,1.0,327655.74723403994,problem_spec,188,155,3100.0,105.69540233356128,0.008050314145685716,2637.7316968734153,325018.0155371665,1.0000000000000004,0.07167749176286456,0.25107641676975645,23.909489848182055,29.312651268609997,36.664759591336505,0.0,3760.0,323895.74723403994,1.0,0.3028768801623227,25.851240941409987,32.78922516299164,36.39334721175759
