time_seconds,mean_delay_ms,p95_delay_ms,max_delay_ms,mean_hops,max_hops,reachable_count
0.0,25.48236404478317,42.02183741128535,43.73687850081657,6.2727272727272725,11,11
300.0,25.460221230518425,39.43747339622739,44.91820817183857,6.090909090909091,12,11
600.0,22.49511079450967,38.87093483476167,40.72507045634428,5.363636363636363,12,11
900.0,18.73281442965696,32.77858041924833,39.71456250861431,4.454545454545454,11,11
1200.0,19.91555036626684,27.193894603078046,29.26984515939507,4.545454545454546,7,11
1500.0,17.449567971089422,25.07567787174773,26.904855175209125,3.6363636363636362,7,11
1800.0,21.724894729517075,42.96602105921778,48.29514879250251,5.2727272727272725,15,11
2100.0,16.943554887545844,27.070653221209334,31.4957029946077,3.6363636363636362,9,11
2400.0,18.120002540803686,30.51791273549047,30.713735696445696,3.909090909090909,8,11
2700.0,21.667569935791104,32.830647032743244,33.963795024517374,5.0,9,11
3000.0,20.935229237494784,37.50089015287672,41.77974743431268,4.818181818181818,12,11
3300.0,22.80581635142162,36.39849468848637,38.53793033239948,5.7272727272727275,11,11
3600.0,21.66708067637366,32.85053784333629,39.19787388258467,5.181818181818182,11,11
3900.0,18.67187425382644,33.7305007593557,37.02185448349397,4.2727272727272725,10,11
4200.0,17.678495870678447,26.857093166862974,27.348579871174543,4.0,8,11
4500.0,18.78626073375348,26.964102324538494,27.525543755309346,4.454545454545454,8,11
4800.0,18.814348087999946,28.550347666520533,28.778617273717057,4.090909090909091,7,11
5100.0,22.740730344951558,42.593021343634575,44.99827036832953,5.636363636363637,14,11
5400.0,19.124815516517025,29.29934870692552,30.61829482266327,4.181818181818182,8,11
5700.0,18.326136497360622,33.89225314863153,41.95007904824735,4.090909090909091,12,11
6000.0,17.82091132561322,25.945495428606005,27.351514044164805,3.727272727272727,7,11
6300.0,15.891513656579866,23.916788038075953,25.04596297655739,3.272727272727273,6,11
6600.0,15.173132155277495,22.758404755121383,23.456945164429364,3.0,6,11
