source_lat,source_lon,destination_lat,destination_lon,time_seconds,ground_distance_km,ingress_satellite,egress_satellite,satellite_path,ISL_hop_count,satellite_count,uplink_distance_km,ISL_total_distance_km,downlink_distance_km,propagation_delay_ms,processing_delay_ms,processing_delay_isl_only_ms,total_delay_ms,total_delay_isl_processing_ms,reachable,source_ground_index,destination_ground_index,pair_index
4.0,73.0,53.0,135.0,0.0,7813.879815322156,303,267,"[303, 304, 305, 306, 307, 264, 265, 266, 267]",8,9,698.6322573554125,7899.815790750198,692.5491593755927,30.991430770020248,4.5,4.0,35.49143077002025,34.991430770020244,True,0,395,0
4.0,135.0,53.0,73.0,600.0,7813.879815322154,1351,1385,"[1351, 1350, 1349, 1348, 1347, 1346, 1345, 1344, 1343, 1385]",9,10,599.6838129580267,8214.016641432538,602.000428086675,31.407397455199618,5.0,4.5,36.40739745519962,35.907397455199614,True,21,374,1
4.0,73.0,4.0,135.0,1200.0,6875.443603489902,336,552,"[336, 337, 338, 339, 340, 341, 342, 384, 426, 468, 510, 552]",11,12,672.7127921683357,10289.945141382126,729.1436148476569,38.99965204727772,6.0,5.5,44.99965204727772,44.49965204727772,True,0,21,2
53.0,73.0,53.0,135.0,1800.0,4015.622051678244,82,129,"[82, 83, 84, 126, 127, 128, 129]",6,7,703.3724443567436,5168.6213236040585,744.964569105292,22.071797206673207,3.5,3.0,25.571797206673203,25.071797206673207,True,374,395,3
28.0,103.0,4.0,73.0,2400.0,4146.86017134547,1291,1122,"[1291, 1290, 1248, 1206, 1164, 1122]",5,6,696.5864382273721,4694.592753416761,639.8234273257154,20.11725931734363,3.0,2.5,23.11725931734363,22.61725931734363,True,186,0,4
28.0,103.0,53.0,135.0,3000.0,3820.0117814111413,369,331,"[369, 370, 371, 372, 373, 331]",5,6,690.0506799052497,4349.320116562505,704.4866702681965,19.159446188389275,3.0,2.5,22.159446188389275,21.659446188389275,True,186,395,5
4.0,103.0,53.0,103.0,3600.0,5448.551405583376,1242,29,"[1242, 1241, 1240, 1282, 1324, 1366, 1408, 1494, 29]",8,9,582.9633326985809,6086.061162000058,735.2994668985119,24.698166228041504,4.5,4.0,29.1981662280415,28.698166228041504,True,10,384,6
28.0,73.0,28.0,135.0,4200.0,6015.413069109794,274,490,"[274, 275, 276, 277, 278, 279, 280, 322, 364, 406, 448, 490]",11,12,597.3682118558199,8392.90102241853,761.6361160296362,32.52885484632168,6.0,5.5,38.52885484632167,38.02885484632168,True,176,197,7
13.0,73.0,49.0,118.0,4800.0,5732.462629089958,310,274,"[310, 311, 312, 313, 314, 315, 316, 274]",7,8,693.508614078818,6341.03276133924,657.5355145228923,25.658006679877687,4.0,3.5,29.658006679877687,29.158006679877687,True,66,345,8
28.0,100.0,34.0,121.0,5400.0,2105.168209483152,438,482,"[438, 439, 396, 482]",3,4,620.5572310038152,2667.3260903568957,557.4973379355202,12.826809203106206,2.0,1.5,14.826809203106208,14.326809203106206,True,185,236,9
