time_seconds,edge_count,same_plane_edge_count,cross_plane_edge_count,average_degree,minimum_degree,maximum_degree,connected_component_count,largest_component_ratio,is_connected,unweighted_diameter,weighted_diameter_ms,diameter_method,selected_crosslink_shifts
2280.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.56398644254939,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
2400.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.91310169877941,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
2520.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,103.13414529878267,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
2640.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.86093352812765,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
2760.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.50936515747036,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
2880.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.56665807165224,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
3000.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.92033491877882,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
3120.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,103.19398345951038,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
3240.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.85879589173746,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
3360.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.57948604847037,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
3480.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.52224003862928,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
3600.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,103.01217073988455,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
