strategy,strategy_cn,mean_throughput_gbps,blocked_ratio,minimum_service_ratio,maximum_utilization,utilization_standard_deviation,mean_delay_ms,p95_delay_ms,maximum_delay_ms,handover_count
nearest_visible_satellite,最近卫星基准,3030.973989121615,0.7791187488639373,0.0,1.0,0.30142574090772,22.724250083445014,35.29248992769928,42.22100841060515,1428
three_stage_optimized,三级优化方案,2104.4466307707935,0.8466391310443299,0.13821917449543994,1.0000000000000002,0.24556827669811448,21.90668185095786,34.279965200552596,42.31226878151828,2772
