satellite_id,plane_index,satellite_index,inclination_deg,raan_deg,initial_argument_of_latitude_deg,phase_factor,altitude_km
273,6,9,51.803590009506145,68.51204812744214,124.03209272419815,33,550.0
274,6,10,51.803590009506145,68.51204812744214,132.21391090601634,33,550.0
275,6,11,51.803590009506145,68.51204812744214,140.3957290878345,33,550.0
276,6,12,51.803590009506145,68.51204812744214,148.57754726965268,33,550.0
277,6,13,51.803590009506145,68.51204812744214,156.7593654514709,33,550.0
278,6,14,51.803590009506145,68.51204812744214,164.94118363328903,33,550.0
279,6,15,51.803590009506145,68.51204812744214,173.12300181510722,33,550.0
280,6,16,51.803590009506145,68.51204812744214,181.30481999692543,33,550.0
281,6,17,51.803590009506145,68.51204812744214,189.48663817874362,33,550.0
282,6,18,51.803590009506145,68.51204812744214,197.6684563605618,33,550.0
283,6,19,51.803590009506145,68.51204812744214,205.85027454237996,33,550.0
284,6,20,51.803590009506145,68.51204812744214,214.03209272419815,33,550.0
285,6,21,51.803590009506145,68.51204812744214,222.21391090601634,33,550.0
286,6,22,51.803590009506145,68.51204812744214,230.3957290878345,33,550.0
287,6,23,51.803590009506145,68.51204812744214,238.57754726965268,33,550.0
288,6,24,51.803590009506145,68.51204812744214,246.75936545147087,33,550.0
289,6,25,51.803590009506145,68.51204812744214,254.94118363328909,33,550.0
290,6,26,51.803590009506145,68.51204812744214,263.1230018151073,33,550.0
291,6,27,51.803590009506145,68.51204812744214,271.30481999692546,33,550.0
292,6,28,51.803590009506145,68.51204812744214,279.48663817874365,33,550.0
293,6,29,51.803590009506145,68.51204812744214,287.6684563605618,33,550.0
294,6,30,51.803590009506145,68.51204812744214,295.8502745423799,33,550.0
295,6,31,51.803590009506145,68.51204812744214,304.03209272419815,33,550.0
296,6,32,51.803590009506145,68.51204812744214,312.21391090601634,33,550.0
297,6,33,51.803590009506145,68.51204812744214,320.3957290878345,33,550.0
298,6,34,51.803590009506145,68.51204812744214,328.57754726965265,33,550.0
299,6,35,51.803590009506145,68.51204812744214,336.75936545147084,33,550.0
300,6,36,51.803590009506145,68.51204812744214,344.94118363328903,33,550.0
301,6,37,51.803590009506145,68.51204812744214,353.1230018151073,33,550.0
302,6,38,51.803590009506145,68.51204812744214,1.3048199969254028,33,550.0
303,6,39,51.803590009506145,68.51204812744214,9.48663817874359,33,550.0
304,6,40,51.803590009506145,68.51204812744214,17.668456360561777,33,550.0
305,6,41,51.803590009506145,68.51204812744214,25.850274542379907,33,550.0
306,6,42,51.803590009506145,68.51204812744214,34.03209272419815,33,550.0
307,6,43,51.803590009506145,68.51204812744214,42.21391090601634,33,550.0
308,7,0,51.803590009506145,79.10028342155978,58.33690555842274,33,550.0
309,7,1,51.803590009506145,79.10028342155978,66.51872374024093,33,550.0
310,7,2,51.803590009506145,79.10028342155978,74.70054192205912,33,550.0
311,7,3,51.803590009506145,79.10028342155978,82.88236010387729,33,550.0
312,7,4,51.803590009506145,79.10028342155978,91.06417828569548,33,550.0
313,7,5,51.803590009506145,79.10028342155978,99.24599646751365,33,550.0
314,7,6,51.803590009506145,79.10028342155978,107.42781464933184,33,550.0
315,7,7,51.803590009506145,79.10028342155978,115.60963283115001,33,550.0
316,7,8,51.803590009506145,79.10028342155978,123.79145101296821,33,550.0
317,7,9,51.803590009506145,79.10028342155978,131.97326919478638,33,550.0
318,7,10,51.803590009506145,79.10028342155978,140.15508737660457,33,550.0
319,7,11,51.803590009506145,79.10028342155978,148.33690555842276,33,550.0
320,7,12,51.803590009506145,79.10028342155978,156.51872374024092,33,550.0
321,7,13,51.803590009506145,79.10028342155978,164.70054192205913,33,550.0
322,7,14,51.803590009506145,79.10028342155978,172.88236010387726,33,550.0
323,7,15,51.803590009506145,79.10028342155978,181.06417828569545,33,550.0
324,7,16,51.803590009506145,79.10028342155978,189.24599646751366,33,550.0
325,7,17,51.803590009506145,79.10028342155978,197.42781464933182,33,550.0
326,7,18,51.803590009506145,79.10028342155978,205.60963283115,33,550.0
327,7,19,51.803590009506145,79.10028342155978,213.7914510129682,33,550.0
328,7,20,51.803590009506145,79.10028342155978,221.97326919478638,33,550.0
329,7,21,51.803590009506145,79.10028342155978,230.15508737660457,33,550.0
330,7,22,51.803590009506145,79.10028342155978,238.33690555842276,33,550.0
331,7,23,51.803590009506145,79.10028342155978,246.51872374024092,33,550.0
332,7,24,51.803590009506145,79.10028342155978,254.7005419220591,33,550.0
333,7,25,51.803590009506145,79.10028342155978,262.8823601038773,33,550.0
334,7,26,51.803590009506145,79.10028342155978,271.0641782856955,33,550.0
335,7,27,51.803590009506145,79.10028342155978,279.2459964675137,33,550.0
336,7,28,51.803590009506145,79.10028342155978,287.4278146493319,33,550.0
337,7,29,51.803590009506145,79.10028342155978,295.60963283115,33,550.0
338,7,30,51.803590009506145,79.10028342155978,303.79145101296814,33,550.0
339,7,31,51.803590009506145,79.10028342155978,311.9732691947864,33,550.0
340,7,32,51.803590009506145,79.10028342155978,320.15508737660457,33,550.0
341,7,33,51.803590009506145,79.10028342155978,328.33690555842276,33,550.0
342,7,34,51.803590009506145,79.10028342155978,336.51872374024094,33,550.0
343,7,35,51.803590009506145,79.10028342155978,344.7005419220591,33,550.0
344,7,36,51.803590009506145,79.10028342155978,352.88236010387726,33,550.0
345,7,37,51.803590009506145,79.10028342155978,1.0641782856955047,33,550.0
346,7,38,51.803590009506145,79.10028342155978,9.245996467513635,33,550.0
347,7,39,51.803590009506145,79.10028342155978,17.427814649331822,33,550.0
348,7,40,51.803590009506145,79.10028342155978,25.60963283115001,33,550.0
349,7,41,51.803590009506145,79.10028342155978,33.79145101296814,33,550.0
350,7,42,51.803590009506145,79.10028342155978,41.97326919478638,33,550.0
351,7,43,51.803590009506145,79.10028342155978,50.15508737660457,33,550.0
352,8,0,51.803590009506145,89.68851871567743,66.27808202901099,33,550.0
353,8,1,51.803590009506145,89.68851871567743,74.45990021082916,33,550.0
354,8,2,51.803590009506145,89.68851871567743,82.64171839264733,33,550.0
355,8,3,51.803590009506145,89.68851871567743,90.82353657446552,33,550.0
356,8,4,51.803590009506145,89.68851871567743,99.00535475628371,33,550.0
357,8,5,51.803590009506145,89.68851871567743,107.1871729381019,33,550.0
358,8,6,51.803590009506145,89.68851871567743,115.36899111992007,33,550.0
359,8,7,51.803590009506145,89.68851871567743,123.55080930173824,33,550.0
360,8,8,51.803590009506145,89.68851871567743,131.73262748355646,33,550.0
361,8,9,51.803590009506145,89.68851871567743,139.91444566537461,33,550.0
362,8,10,51.803590009506145,89.68851871567743,148.0962638471928,33,550.0
363,8,11,51.803590009506145,89.68851871567743,156.278082029011,33,550.0
364,8,12,51.803590009506145,89.68851871567743,164.45990021082915,33,550.0
365,8,13,51.803590009506145,89.68851871567743,172.64171839264733,33,550.0
366,8,14,51.803590009506145,89.68851871567743,180.82353657446552,33,550.0
367,8,15,51.803590009506145,89.68851871567743,189.00535475628368,33,550.0
368,8,16,51.803590009506145,89.68851871567743,197.1871729381019,33,550.0
369,8,17,51.803590009506145,89.68851871567743,205.36899111992008,33,550.0
370,8,18,51.803590009506145,89.68851871567743,213.55080930173824,33,550.0
371,8,19,51.803590009506145,89.68851871567743,221.73262748355643,33,550.0
372,8,20,51.803590009506145,89.68851871567743,229.91444566537461,33,550.0
373,8,21,51.803590009506145,89.68851871567743,238.0962638471928,33,550.0
374,8,22,51.803590009506145,89.68851871567743,246.278082029011,33,550.0
375,8,23,51.803590009506145,89.68851871567743,254.45990021082915,33,550.0
376,8,24,51.803590009506145,89.68851871567743,262.64171839264736,33,550.0
377,8,25,51.803590009506145,89.68851871567743,270.82353657446555,33,550.0
378,8,26,51.803590009506145,89.68851871567743,279.0053547562837,33,550.0
379,8,27,51.803590009506145,89.68851871567743,287.1871729381019,33,550.0
380,8,28,51.803590009506145,89.68851871567743,295.36899111992005,33,550.0
381,8,29,51.803590009506145,89.68851871567743,303.5508093017383,33,550.0
382,8,30,51.803590009506145,89.68851871567743,311.73262748355637,33,550.0
383,8,31,51.803590009506145,89.68851871567743,319.9144456653746,33,550.0
384,8,32,51.803590009506145,89.68851871567743,328.09626384719274,33,550.0
385,8,33,51.803590009506145,89.68851871567743,336.278082029011,33,550.0
386,8,34,51.803590009506145,89.68851871567743,344.4599002108291,33,550.0
387,8,35,51.803590009506145,89.68851871567743,352.64171839264736,33,550.0
388,8,36,51.803590009506145,89.68851871567743,0.8235365744654359,33,550.0
389,8,37,51.803590009506145,89.68851871567743,9.00535475628368,33,550.0
390,8,38,51.803590009506145,89.68851871567743,17.18717293810181,33,550.0
391,8,39,51.803590009506145,89.68851871567743,25.368991119920054,33,550.0
392,8,40,51.803590009506145,89.68851871567743,33.5508093017383,33,550.0
393,8,41,51.803590009506145,89.68851871567743,41.73262748355637,33,550.0
394,8,42,51.803590009506145,89.68851871567743,49.914445665374615,33,550.0
395,8,43,51.803590009506145,89.68851871567743,58.096263847192745,33,550.0
396,9,0,51.803590009506145,100.27675400979507,74.21925849959922,33,550.0
397,9,1,51.803590009506145,100.27675400979507,82.4010766814174,33,550.0
398,9,2,51.803590009506145,100.27675400979507,90.58289486323558,33,550.0
399,9,3,51.803590009506145,100.27675400979507,98.76471304505377,33,550.0
