time_seconds,ground_index,satellite_id,assigned_gbps,assignment_cost_ms
0.0,8,1184,20.0,24.0142160560653
0.0,8,389,20.0,23.001633731497954
0.0,4,1141,20.0,25.886993327552652
0.0,4,346,20.0,24.77208144208027
0.0,20,1313,20.0,26.6406794936587
0.0,20,560,20.0,30.13620827683213
0.0,0,303,20.0,27.63392974575943
0.0,0,1098,20.0,29.375809169136023
0.0,9,431,20.0,24.941381850174768
0.0,12,1227,20.0,23.505389857675166
0.0,12,474,20.0,26.056574562807373
0.0,12,432,4.975203840593053,22.95575782615706
0.0,10,432,15.024796159406947,22.854798344206692
0.0,6,388,20.0,26.183870383875806
0.0,19,518,20.0,26.882130568171654
0.0,2,345,20.0,27.950784245882883
0.0,14,475,20.0,24.06819452564333
0.0,14,1270,20.0,24.83986713319831
0.0,21,561,20.0,29.036896288626824
0.0,16,517,20.0,27.50150554651501
0.0,28,1183,20.0,22.681384647939105
0.0,23,1097,20.0,29.59144533507517
0.0,39,1312,20.0,23.278689807018942
0.0,32,1226,20.0,21.653590271190286
0.0,42,1355,20.0,25.519335590227087
0.0,26,1140,20.0,25.81347495336621
0.0,35,1269,20.0,21.4380404176251
0.0,46,304,20.0,24.49315542826446
0.0,54,390,20.0,21.01675441270425
0.0,49,347,20.0,21.793765285581443
0.0,64,519,20.0,25.82811192301716
0.0,57,433,20.0,21.071534897768306
0.0,60,476,20.0,23.449453008744655
0.0,82,1311,20.0,20.29475686129249
0.0,70,1182,20.0,22.788353259192956
0.0,77,1268,20.0,19.58936221685262
0.0,68,1139,20.0,26.10890594129173
0.0,75,1225,20.0,20.3111991419148
0.0,66,261,20.0,27.570167756717375
0.0,84,1354,20.0,22.49869402749103
0.0,107,477,20.0,23.05308834465689
0.0,95,348,20.0,19.67466889455327
0.0,89,262,20.0,24.554329613743107
0.0,99,391,20.0,19.279467072595033
0.0,103,434,20.0,20.58004504857
0.0,92,305,20.0,21.361695654164002
0.0,109,520,20.0,28.179640221577163
0.0,112,1181,20.0,23.319097681871657
0.0,131,1396,20.0,23.353571104520263
0.0,127,1353,20.0,19.206071235590223
0.0,116,1224,20.0,20.321389218688036
0.0,110,1138,20.0,28.071306399213274
0.0,121,1267,20.0,18.245810933565615
0.0,123,1310,20.0,18.299219334491617
0.0,141,349,20.0,18.140085556453975
0.0,151,478,20.0,25.34892413347679
0.0,148,435,20.0,19.950793934063395
0.0,135,263,20.0,21.401322917982974
0.0,138,306,20.0,19.272528935506756
0.0,145,392,20.0,18.811416119215345
0.0,159,1223,20.0,20.897345672831005
0.0,173,1395,20.0,20.2534252457714
0.0,156,1180,20.0,25.438231403902453
0.0,168,1352,20.0,17.45579345627678
0.0,163,1266,20.0,18.362644252731464
0.0,154,176,20.0,25.13319518553666
0.0,165,1309,20.0,16.90100747925916
0.0,180,220,20.0,19.356972521506947
0.0,195,436,20.0,22.442445010074906
0.0,177,177,20.0,22.30004952994418
0.0,197,1438,20.0,24.54846743613708
0.0,184,307,20.0,17.73419872236467
0.0,192,393,20.0,18.404114229974986
0.0,188,350,20.0,17.684460647959845
0.0,213,1394,20.0,18.28886124871101
0.0,211,1351,20.0,16.011771675846287
0.0,200,1222,20.0,23.053571509724158
0.0,203,1265,20.0,18.796569433684965
0.0,206,1308,20.0,17.26839546445475
0.0,219,479,20.0,27.820475261121985
0.0,217,1437,20.0,21.461578930878304
0.0,198,1179,20.0,27.64783888870134
0.0,235,351,20.0,17.308300903207186
0.0,241,437,20.0,25.192914263335112
0.0,223,178,20.0,20.151744717752365
0.0,232,264,20.0,17.585399467868363
0.0,220,135,20.0,23.051035035124425
0.0,239,394,20.0,21.188885007712443
0.0,228,221,20.0,17.72064704528725
0.0,261,1479,20.0,22.168675457563793
0.0,244,1264,20.0,21.265953161662615
0.0,251,1350,20.0,16.337816933434123
0.0,248,1307,20.0,17.739966159281416
0.0,258,1436,20.0,19.32700907740094
0.0,256,1393,20.0,16.73369319124216
0.0,243,1221,20.0,25.701237541997962
0.0,281,308,20.0,19.80827661314974
0.0,281,1478,14.537135706981466,20.097439222125544
0.0,274,222,20.0,17.183698851980587
0.0,274,1392,14.537135706981466,17.331975435464237
0.0,271,179,20.0,18.307529604587202
0.0,271,1349,14.537135706981466,17.43714748484537
0.0,284,395,20.0,23.73070904943469
