plane_index,satellite_index,inclination_deg,raan_deg,initial_argument_of_latitude_deg,phase_factor,altitude_km
0,0,50.331343634531606,3.594136750965014,4.295683725698838,28,550.0
0,1,50.331343634531606,3.594136750965014,12.121770682220577,28,550.0
0,2,50.331343634531606,3.594136750965014,19.947857638742317,28,550.0
0,3,50.331343634531606,3.594136750965014,27.773944595264055,28,550.0
0,4,50.331343634531606,3.594136750965014,35.6000315517858,28,550.0
0,5,50.331343634531606,3.594136750965014,43.42611850830754,28,550.0
0,6,50.331343634531606,3.594136750965014,51.252205464829274,28,550.0
0,7,50.331343634531606,3.594136750965014,59.07829242135101,28,550.0
0,8,50.331343634531606,3.594136750965014,66.90437937787274,28,550.0
0,9,50.331343634531606,3.594136750965014,74.73046633439448,28,550.0
0,10,50.331343634531606,3.594136750965014,82.55655329091624,28,550.0
0,11,50.331343634531606,3.594136750965014,90.38264024743795,28,550.0
0,12,50.331343634531606,3.594136750965014,98.20872720395971,28,550.0
0,13,50.331343634531606,3.594136750965014,106.03481416048145,28,550.0
0,14,50.331343634531606,3.594136750965014,113.86090111700318,28,550.0
0,15,50.331343634531606,3.594136750965014,121.68698807352492,28,550.0
0,16,50.331343634531606,3.594136750965014,129.51307503004665,28,550.0
0,17,50.331343634531606,3.594136750965014,137.33916198656843,28,550.0
0,18,50.331343634531606,3.594136750965014,145.16524894309012,28,550.0
0,19,50.331343634531606,3.594136750965014,152.99133589961187,28,550.0
0,20,50.331343634531606,3.594136750965014,160.81742285613362,28,550.0
0,21,50.331343634531606,3.594136750965014,168.64350981265537,28,550.0
0,22,50.331343634531606,3.594136750965014,176.46959676917706,28,550.0
0,23,50.331343634531606,3.594136750965014,184.29568372569884,28,550.0
0,24,50.331343634531606,3.594136750965014,192.12177068222056,28,550.0
0,25,50.331343634531606,3.594136750965014,199.94785763874233,28,550.0
0,26,50.331343634531606,3.594136750965014,207.77394459526406,28,550.0
0,27,50.331343634531606,3.594136750965014,215.60003155178578,28,550.0
0,28,50.331343634531606,3.594136750965014,223.42611850830752,28,550.0
0,29,50.331343634531606,3.594136750965014,231.25220546482927,28,550.0
0,30,50.331343634531606,3.594136750965014,239.07829242135102,28,550.0
0,31,50.331343634531606,3.594136750965014,246.90437937787274,28,550.0
0,32,50.331343634531606,3.594136750965014,254.7304663343945,28,550.0
0,33,50.331343634531606,3.594136750965014,262.55655329091627,28,550.0
0,34,50.331343634531606,3.594136750965014,270.382640247438,28,550.0
0,35,50.331343634531606,3.594136750965014,278.2087272039597,28,550.0
0,36,50.331343634531606,3.594136750965014,286.03481416048146,28,550.0
0,37,50.331343634531606,3.594136750965014,293.8609011170032,28,550.0
0,38,50.331343634531606,3.594136750965014,301.6869880735249,28,550.0
0,39,50.331343634531606,3.594136750965014,309.5130750300467,28,550.0
0,40,50.331343634531606,3.594136750965014,317.33916198656846,28,550.0
0,41,50.331343634531606,3.594136750965014,325.16524894309015,28,550.0
0,42,50.331343634531606,3.594136750965014,332.9913358996119,28,550.0
0,43,50.331343634531606,3.594136750965014,340.81742285613365,28,550.0
0,44,50.331343634531606,3.594136750965014,348.64350981265534,28,550.0
0,45,50.331343634531606,3.594136750965014,356.46959676917714,28,550.0
1,0,50.331343634531606,12.594136750965014,9.773944595264055,28,550.0
1,1,50.331343634531606,12.594136750965014,17.600031551785793,28,550.0
1,2,50.331343634531606,12.594136750965014,25.426118508307532,28,550.0
1,3,50.331343634531606,12.594136750965014,33.252205464829274,28,550.0
1,4,50.331343634531606,12.594136750965014,41.078292421351016,28,550.0
1,5,50.331343634531606,12.594136750965014,48.90437937787276,28,550.0
1,6,50.331343634531606,12.594136750965014,56.73046633439449,28,550.0
1,7,50.331343634531606,12.594136750965014,64.55655329091623,28,550.0
1,8,50.331343634531606,12.594136750965014,72.38264024743796,28,550.0
1,9,50.331343634531606,12.594136750965014,80.2087272039597,28,550.0
1,10,50.331343634531606,12.594136750965014,88.03481416048146,28,550.0
1,11,50.331343634531606,12.594136750965014,95.86090111700317,28,550.0
1,12,50.331343634531606,12.594136750965014,103.68698807352493,28,550.0
1,13,50.331343634531606,12.594136750965014,111.51307503004666,28,550.0
1,14,50.331343634531606,12.594136750965014,119.33916198656839,28,550.0
1,15,50.331343634531606,12.594136750965014,127.16524894309013,28,550.0
1,16,50.331343634531606,12.594136750965014,134.99133589961187,28,550.0
1,17,50.331343634531606,12.594136750965014,142.81742285613362,28,550.0
1,18,50.331343634531606,12.594136750965014,150.64350981265534,28,550.0
1,19,50.331343634531606,12.594136750965014,158.46959676917706,28,550.0
1,20,50.331343634531606,12.594136750965014,166.29568372569884,28,550.0
1,21,50.331343634531606,12.594136750965014,174.12177068222056,28,550.0
1,22,50.331343634531606,12.594136750965014,181.94785763874228,28,550.0
1,23,50.331343634531606,12.594136750965014,189.77394459526403,28,550.0
1,24,50.331343634531606,12.594136750965014,197.60003155178578,28,550.0
1,25,50.331343634531606,12.594136750965014,205.42611850830752,28,550.0
1,26,50.331343634531606,12.594136750965014,213.25220546482927,28,550.0
1,27,50.331343634531606,12.594136750965014,221.078292421351,28,550.0
1,28,50.331343634531606,12.594136750965014,228.90437937787274,28,550.0
1,29,50.331343634531606,12.594136750965014,236.7304663343945,28,550.0
1,30,50.331343634531606,12.594136750965014,244.55655329091627,28,550.0
1,31,50.331343634531606,12.594136750965014,252.38264024743796,28,550.0
1,32,50.331343634531606,12.594136750965014,260.2087272039597,28,550.0
1,33,50.331343634531606,12.594136750965014,268.0348141604815,28,550.0
1,34,50.331343634531606,12.594136750965014,275.86090111700327,28,550.0
1,35,50.331343634531606,12.594136750965014,283.68698807352496,28,550.0
1,36,50.331343634531606,12.594136750965014,291.5130750300467,28,550.0
1,37,50.331343634531606,12.594136750965014,299.33916198656846,28,550.0
1,38,50.331343634531606,12.594136750965014,307.16524894309015,28,550.0
1,39,50.331343634531606,12.594136750965014,314.9913358996119,28,550.0
1,40,50.331343634531606,12.594136750965014,322.81742285613365,28,550.0
1,41,50.331343634531606,12.594136750965014,330.6435098126554,28,550.0
1,42,50.331343634531606,12.594136750965014,338.46959676917714,28,550.0
1,43,50.331343634531606,12.594136750965014,346.29568372569884,28,550.0
1,44,50.331343634531606,12.594136750965014,354.1217706822206,28,550.0
1,45,50.331343634531606,12.594136750965014,1.9478576387423914,28,550.0
2,0,50.331343634531606,21.594136750965014,15.252205464829272,28,550.0
2,1,50.331343634531606,21.594136750965014,23.078292421351016,28,550.0
2,2,50.331343634531606,21.594136750965014,30.90437937787275,28,550.0
2,3,50.331343634531606,21.594136750965014,38.73046633439449,28,550.0
2,4,50.331343634531606,21.594136750965014,46.55655329091623,28,550.0
2,5,50.331343634531606,21.594136750965014,54.38264024743797,28,550.0
2,6,50.331343634531606,21.594136750965014,62.20872720395971,28,550.0
2,7,50.331343634531606,21.594136750965014,70.03481416048145,28,550.0
2,8,50.331343634531606,21.594136750965014,77.86090111700318,28,550.0
2,9,50.331343634531606,21.594136750965014,85.68698807352492,28,550.0
