scenario,scenario_cn,M,N,total_satellites,launch_count,manufacturing_cost_yuan,manufacturing_cost_100m_yuan,launch_cost_yuan,launch_cost_100m_yuan,total_cost_yuan,total_cost_100m_yuan,double_minus_single_satellites,satellite_increase_ratio,double_minus_single_cost_yuan,cost_increase_ratio
single,单重覆盖,34,44,1496,25,7480000000,74.8,5000000000,50.0,12480000000,124.8,344,0.22994652406417115,2920000000,0.23397435897435903
double,二重覆盖,40,46,1840,31,9200000000,92.0,6200000000,62.0,15400000000,154.0,344,0.22994652406417115,2920000000,0.23397435897435903
