time_seconds,time_hours,A1_area_coverage,A2_area_coverage,B1_full_region,B2_full_region,weighted_mean_multiplicity
0.0,0.0,0.9999999999999999,0.9999999999999999,1,1,3.689383070301296
120.0,0.03333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.6825681492109084
240.0,0.06666666666666667,0.9999999999999999,0.9999999999999999,1,1,3.689383070301296
360.0,0.1,0.9999999999999999,0.9999999999999999,1,1,3.6847202295552415
480.0,0.13333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.688665710186518
600.0,0.16666666666666666,0.9999999999999999,0.9999999999999999,1,1,3.6800573888091868
720.0,0.2,0.9999999999999999,0.9999999999999999,1,1,3.687589670014352
840.0,0.23333333333333334,0.9999999999999999,0.9999999999999999,1,1,3.6854375896700193
960.0,0.26666666666666666,0.9999999999999999,0.9999999999999999,1,1,3.6908177905308515
1080.0,0.3,0.9999999999999999,0.9999999999999999,1,1,3.6990674318507937
1200.0,0.3333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.6911764705882395
1320.0,0.36666666666666664,0.9999999999999999,0.9999999999999999,1,1,3.691535150645629
1440.0,0.4,0.9999999999999999,0.9999999999999999,1,1,3.692969870875184
1560.0,0.43333333333333335,0.9999999999999999,0.9999999999999999,1,1,3.680774748923964
1680.0,0.4666666666666667,0.9999999999999999,0.9999999999999999,1,1,3.6796987087517983
1800.0,0.5,0.9999999999999999,0.9999999999999999,1,1,3.6994261119081826
1920.0,0.5333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.685796269727408
2040.0,0.5666666666666667,0.9999999999999999,0.9999999999999999,1,1,3.696556671449072
2160.0,0.6,0.9999999999999999,0.9999999999999999,1,1,3.692611190817795
2280.0,0.6333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.695121951219517
2400.0,0.6666666666666666,0.9999999999999999,0.9999999999999999,1,1,3.6965566714490725
2520.0,0.7,0.9999999999999999,0.9999999999999999,1,1,3.6807747489239646
2640.0,0.7333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.6897417503586847
2760.0,0.7666666666666667,0.9999999999999999,0.9999999999999999,1,1,3.6861549497847963
2880.0,0.8,0.9999999999999999,0.9999999999999999,1,1,3.6897417503586847
3000.0,0.8333333333333334,0.9999999999999999,0.9999999999999999,1,1,3.680057388809187
3120.0,0.8666666666666667,0.9999999999999999,0.9999999999999999,1,1,3.685796269727408
3240.0,0.9,0.9999999999999999,0.9999999999999999,1,1,3.6904591104734625
3360.0,0.9333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.7019368723099046
3480.0,0.9666666666666667,0.9999999999999999,0.9999999999999999,1,1,3.6854375896700193
3600.0,1.0,0.9999999999999999,0.9999999999999999,1,1,3.6789813486370204
3720.0,1.0333333333333334,0.9999999999999999,0.9999999999999999,1,1,3.6893830703012958
3840.0,1.0666666666666667,0.9999999999999999,0.9999999999999999,1,1,3.6911764705882404
3960.0,1.1,0.9999999999999999,0.9999999999999999,1,1,3.668579626972745
4080.0,1.1333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.685796269727408
4200.0,1.1666666666666667,0.9999999999999999,0.9999999999999999,1,1,3.695121951219517
4320.0,1.2,0.9999999999999999,0.9999999999999999,1,1,3.690817790530851
4440.0,1.2333333333333334,0.9999999999999999,0.9999999999999999,1,1,3.701936872309904
4560.0,1.2666666666666666,0.9999999999999999,0.9999999999999999,1,1,3.6796987087517983
4680.0,1.3,0.9999999999999999,0.9999999999999999,1,1,3.683285509325686
4800.0,1.3333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.68830703012913
4920.0,1.3666666666666667,0.9999999999999999,0.9999999999999999,1,1,3.6890243902439073
5040.0,1.4,0.9999999999999999,0.9999999999999999,1,1,3.683285509325686
5160.0,1.4333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.6865136298421857
5280.0,1.4666666666666666,0.9999999999999999,0.9999999999999999,1,1,3.6825681492109084
5400.0,1.5,0.9999999999999999,0.9999999999999999,1,1,3.6893830703012958
5520.0,1.5333333333333334,0.9999999999999999,0.9999999999999999,1,1,3.685437589670019
5640.0,1.5666666666666667,0.9999999999999999,0.9999999999999999,1,1,3.69117647058824
5760.0,1.6,0.9999999999999999,0.9999999999999999,1,1,3.694763271162128
5880.0,1.6333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.6940459110473505
6000.0,1.6666666666666667,0.9999999999999999,0.9996413199426111,1,0,3.675753228120521
6120.0,1.7,0.9999999999999999,0.9999999999999999,1,1,3.6779053084648545
6240.0,1.7333333333333334,0.9999999999999999,0.9999999999999999,1,1,3.6879483500717405
6360.0,1.7666666666666666,0.9999999999999999,0.9999999999999999,1,1,3.6893830703012958
6480.0,1.8,0.9999999999999999,0.9999999999999999,1,1,3.6936872309899615
6600.0,1.8333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.6897417503586842
6720.0,1.8666666666666667,0.9999999999999999,0.9999999999999999,1,1,3.690459110473462
6840.0,1.9,0.9999999999999999,0.9999999999999999,1,1,3.6958393113342947
6960.0,1.9333333333333333,0.9999999999999999,0.9999999999999999,1,1,3.6746771879483546
7080.0,1.9666666666666666,0.9999999999999999,0.9999999999999999,1,1,3.6911764705882404
7200.0,2.0,0.9999999999999999,0.9999999999999999,1,1,3.687230989956963
