time_seconds,time_hours,A1_area_coverage,A2_area_coverage,B1_full_region,B2_full_region,weighted_mean_multiplicity
0.0,0.0,0.9999999999999999,0.949067431850789,1,0,2.9501434720229605
120.0,0.03333333333333333,0.9999999999999999,0.9465566714490674,1,0,2.9461979913916836
240.0,0.06666666666666667,0.9999999999999999,0.9422525107604016,1,0,2.9404591104734616
360.0,0.1,0.9999999999999999,0.9361549497847919,1,0,2.9540889526542355
480.0,0.13333333333333333,0.9999999999999999,0.9279053084648493,1,0,2.956599713055957
600.0,0.16666666666666666,0.9999999999999999,0.9375896700143471,1,0,2.943328550932572
720.0,0.2,0.9999999999999999,0.943328550932568,1,0,2.950860832137738
840.0,0.23333333333333334,0.9999999999999999,0.9479913916786226,1,0,2.958034433285514
960.0,0.26666666666666666,0.9999999999999999,0.9461979913916786,1,0,2.9555236728837926
1080.0,0.3,0.9999999999999999,0.9418938307030128,1,0,2.944404591104739
1200.0,0.3333333333333333,0.9999999999999999,0.9343615494978478,1,0,2.951936872309904
1320.0,0.36666666666666664,0.9999999999999999,0.9390243902439024,1,0,2.9573170731707363
1440.0,0.4,0.9999999999999999,0.9451219512195121,1,0,2.961979913916791
1560.0,0.43333333333333335,0.9999999999999999,0.9436872309899569,1,0,2.9494261119081826
1680.0,0.4666666666666667,0.9999999999999999,0.93974175035868,1,0,2.9440459110473496
1800.0,0.5,0.9999999999999999,0.93974175035868,1,0,2.9465566714490707
1920.0,0.5333333333333333,0.9999999999999999,0.9289813486370158,1,0,2.9472740315638477
2040.0,0.5666666666666667,0.9999999999999999,0.9286226685796268,1,0,2.9408177905308497
2160.0,0.6,0.9999999999999999,0.9368723098995695,1,0,2.943687230989961
2280.0,0.6333333333333333,0.9999999999999999,0.9418938307030129,1,0,2.950502152080349
2400.0,0.6666666666666666,0.9999999999999999,0.9436872309899569,1,0,2.9519368723099046
2520.0,0.7,0.9999999999999999,0.9422525107604016,1,0,2.9558823529411815
2640.0,0.7333333333333333,0.9999999999999999,0.9361549497847919,1,0,2.9526542324246816
2760.0,0.7666666666666667,0.9999999999999999,0.9350789096126254,1,0,2.9501434720229596
2880.0,0.8,0.9999999999999999,0.9426111908177904,1,0,2.9569583931133474
3000.0,0.8333333333333334,0.9999999999999999,0.9461979913916785,1,0,2.955523672883792
3120.0,0.8666666666666667,0.9999999999999999,0.9426111908177904,1,0,2.9390243902439073
3240.0,0.9,0.9999999999999999,0.9408177905308464,1,0,2.948708751793404
3360.0,0.9333333333333333,0.9999999999999999,0.9307747489239597,1,0,2.953730272596847
3480.0,0.9666666666666667,0.9999999999999999,0.9296987087517934,1,0,2.953012912482069
3600.0,1.0,0.9999999999999999,0.9343615494978479,1,0,2.9519368723099033
3720.0,1.0333333333333334,0.9999999999999999,0.935796269727403,1,0,2.934720229555241
3840.0,1.0666666666666667,0.9999999999999999,0.9436872309899569,1,0,2.948350071736016
3960.0,1.1,0.9999999999999999,0.9447632711621232,1,0,2.9515781922525157
4080.0,1.1333333333333333,0.9999999999999999,0.9393830703012911,1,0,2.9634146341463463
4200.0,1.1666666666666667,0.9999999999999999,0.9354375896700142,1,0,2.9616212338594017
4320.0,1.2,0.9999999999999999,0.9411764705882353,1,0,2.959469153515069
4440.0,1.2333333333333334,0.9999999999999999,0.9436872309899569,1,0,2.951219512195127
4560.0,1.2666666666666666,0.9999999999999999,0.9447632711621232,1,0,2.94117647058824
4680.0,1.3,0.9999999999999999,0.941535150645624,1,0,2.9415351506456284
4800.0,1.3333333333333333,0.9999999999999999,0.9354375896700142,1,0,2.9397417503586833
4920.0,1.3666666666666667,0.9999999999999999,0.9279053084648493,1,0,2.948708751793403
5040.0,1.4,0.9999999999999999,0.9296987087517933,1,0,2.9494261119081813
5160.0,1.4333333333333333,0.9999999999999999,0.9372309899569582,1,0,2.9469153515064597
5280.0,1.4666666666666666,0.9999999999999999,0.9465566714490673,1,0,2.9505021520803494
5400.0,1.5,0.9999999999999999,0.943328550932568,1,0,2.9487087517934056
5520.0,1.5333333333333334,0.9999999999999999,0.9408177905308464,1,0,2.9422525107604067
5640.0,1.5666666666666667,0.9999999999999999,0.9372309899569583,1,0,2.956599713055958
5760.0,1.6,0.9999999999999999,0.9350789096126255,1,0,2.9587517934002916
5880.0,1.6333333333333333,0.9999999999999999,0.9401004304160687,1,0,2.9494261119081826
6000.0,1.6666666666666667,0.9999999999999999,0.9458393113342898,1,0,2.960903873744625
6120.0,1.7,0.9999999999999999,0.9429698708751793,1,0,2.954447632711626
6240.0,1.7333333333333334,0.9999999999999999,0.9401004304160687,1,0,2.9512195121951263
6360.0,1.7666666666666666,0.9999999999999999,0.9286226685796269,1,0,2.944763271162127
